item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000006315,Haribo Żelki owocowe Balla Stixx truskawka 170 g,artykuly-spozywcze,Y,w porcji 100 g,370 kcal,3.6 g,2.2 g,81 g,62 g,2.6 g,0.04 g,,
0000003436,Top Chrupki orzechowe 150 g,artykuly-spozywcze,Y,w porcji 100 g,501 kcal,25 g,3.3 g,54 g,3 g,13 g,1.3 g,3.5 g,
0000001284,Lipton Piramidki Forest Fruit 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0 g,0 g,0.5 g,0.5 g,0.5 g,0 g,,
0000003478,Graal tuńczyk kawałki w sosie własnym 3x140 g,artykuly-spozywcze,Y,w porcji 100 g,68 kcal,0.5 g,0 g,0 g,0 g,17 g,0.48 g,,
0000004285,Maggi Przyprawa w płynie 200 g,artykuly-spozywcze,Y,w porcji 100 g,85 kcal,0 g,0 g,2.2 g,0.9 g,2.8 g,22.8 g,0 g,
0000002173,NESCAFÉ Crema Kawa rozpuszczalna 200 g,artykuly-spozywcze,N,,,,,,,,,,
0000017930,Winiary Budyń smak Pumpkin spice latte bez dodatku cukru 35 g,artykuly-spozywcze,Y,w porcji 100 g,69 kcal,1.9 g,1.1 g,9.8 g,4.6 g,3.2 g,0.1 g,0.1 g,
0000000212,Plony Natury Kasza jęczmienna wiejska 1kg,artykuly-spozywcze,Y,w porcji 100 g,331 kcal,1.2 g,0.2 g,69 g,0.5 g,9.1 g,0.01 g,10 g,
0000004099,Barilla Pesto alla Genovese Pesto z bazylią 190 g,artykuly-spozywcze,Y,w porcji 100 g,482 kcal,46 g,5.3 g,9.8 g,5.5 g,4.7 g,3.25 g,5 g,
0000008425,BakaD'Or Selection Daktyle suszone 180 g,artykuly-spozywcze,Y,w porcji 100 g,289 kcal,0.5 g,0 g,66 g,61 g,2.1 g,0.01 g,7.3 g,
0000006457,"Plony Natury Natural Mix Ryż parboiled, fasola szparagowa, papryka czerwona, cebula, curry 4x100 g",artykuly-spozywcze,Y,w porcji 100 g,343 kcal,1 g,0.3 g,75 g,3.3 g,7 g,0.08 g,3 g,
0000005841,Vitanella Granola z żurawiną 350 g,artykuly-spozywcze,Y,w porcji 100 g,437 kcal,14 g,3.4 g,64.2 g,23.1 g,9 g,0.38 g,9 g,
0000009983,Nasza Spiżarnia Marchewka z groszkiem 700g,artykuly-spozywcze,Y,w porcji 100 g,53 kcal,0.6 g,0 g,6.4 g,2.1 g,3.2 g,0.78 g,4.7 g,
0000000959,Dobrusia Makaron Świderki  1 kg,artykuly-spozywcze,Y,w porcji 100 g,356 kcal,1.2 g,0.4 g,73 g,3.4 g,12 g,0 g,,
0000001158,Herbarium Mięta Herbatka ziołowa w torebkach do zaparzania 30 torebek 60 g,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0.5 g,0 g,,
0000008426,Vitanella Select Granola 4 rodzaje orzechów 500 g,artykuly-spozywcze,Y,w porcji 100 g,478 kcal,21.1 g,2.5 g,58.7 g,14.3 g,9.9 g,0.51 g,6.7 g,
0000009754,M&M's Peanut Orzeszki ziemne oblane czekoladą w kolorowych skorupkach 45 g,artykuly-spozywcze,Y,w porcji 100 g,524 kcal,26 g,11 g,60 g,53 g,9.8 g,0.11 g,,
0000007538,Czaniecki makaron Nitka walcowana 250 g,artykuly-spozywcze,Y,w porcji 100 g,371 kcal,3.7 g,1 g,70 g,2.9 g,13 g,0.1 g,2.6 g,
0000004242,Big-Active Zielona herbata z owocem pigwy liściasta 100g,artykuly-spozywcze,Y,w porcji 100 g,1 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,
0000017395,Lipton Herbata czarna Brzoskwinia Mango piramidki 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,
0000008427,Vitanella Select Granola z czekoladą mleczną i białą 500 g,artykuly-spozywcze,Y,w porcji 100 g,468 kcal,18.4 g,5.5 g,63.6 g,23.2 g,9.2 g,0.27 g,5.6 g,
0000011359,"Minutka Herbata czarna (40 x 1,4 g) 56 g",artykuly-spozywcze,N,,,,,,,,,,
0000007099,Marinero podwędzane filety z makreli w oleju roślinnym z pieprzem 170g,artykuly-spozywcze,Y,w porcji 100 g,559 kcal,57 g,6.2 g,0 g,0 g,11 g,0.5 g,1 g,
0000016438,Bakello Kwasek cytrynowy 20 g,artykuly-spozywcze,N,,,,,,,,,,
0000008399,BakaD'Or Selection Pistacje łuskane niesolone prażone 70g,artykuly-spozywcze,Y,w porcji 100 g,608 kcal,50 g,6.5 g,9.6 g,5.3 g,24 g,0.01 g,11 g,
0000000989,Sos meksykański 520g Culineo,artykuly-spozywcze,Y,w porcji 100 g,65 kcal,0.7 g,0.1 g,12 g,10 g,1.9 g,1.1 g,1.5 g,
0000007901,Go Vege Parówki sojowe pikantne 200 g,artykuly-spozywcze,Y,w porcji 100 g,241 kcal,20.2 g,1.6 g,3.6 g,0.5 g,8.9 g,2.5 g,4.5 g,
0000013012,Mentos Pure Fresh Strawberry Guma do żucia bez cukru (30 sztuk) 60 g,artykuly-spozywcze,Y,w porcji 100 g,191 kcal,0.6 g,0.6 g,73 g,0 g,0 g,,,69 g
0000012661,"Milky Way Puszyste nadzienie oblane czekoladą mleczną 21,5 g",artykuly-spozywcze,Y,w porcji 100 g,447 kcal,16 g,7.5 g,71 g,63 g,3.8 g,0.65 g,,
0000004134,"Kujawski Olej rzepakowy z pierwszego tłoczenia z pomidorami czosnkiem i bazylią 0,25 l",artykuly-spozywcze,Y,w porcji 100 g,881 kcal,97.3 g,7.3 g,1.1 g,0.9 g,0.3 g,0.1 g,,
0000000337,Cukiernia Róża Pierniki w czekoladzie mlecznej 500 g,artykuly-spozywcze,Y,w porcji 100 g,367 kcal,7.1 g,3.8 g,70 g,33 g,7.6 g,0.38 g,,
0000005803,goBIO Kasza jaglana 500g,artykuly-spozywcze,Y,w porcji 100 g,350 kcal,3.4 g,0.6 g,68 g,1.1 g,9.7 g,0.01 g,4.2 g,
