item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000003597,Ritter Sport czekolada mleczna z herbatnikiem 100g,artykuly-spozywcze,Y,w porcji 100 g,544 kcal,32 g,19 g,57 g,50 g,6.2 g,0.33 g,,
0000003587,Ritter Sport czekolada mleczna alpejska 100 g,artykuly-spozywcze,Y,w porcji 100 g,547 kcal,32 g,20 g,54 g,53 g,8.2 g,0.18 g,,
0000008432,Vitanella Kaszka z mlekiem smak waniliowy 50 g,artykuly-spozywcze,Y,w porcji 100 g,366 kcal,4.5 g,2.1 g,62 g,17 g,16 g,0.36 g,6.9 g,
0000015646,Eduscho Crema Gold Elegant Kawa palona ziarnista 1000 g,artykuly-spozywcze,N,,,,,,,,,,
0000008004,Biedronka Ethiopia Sidamo Kawa ziarnista 500 g,artykuly-spozywcze,N,,,,,,,,,,
0000002187,Tasso Wafelki z kremem orzechowym w czekoladzie 600g,artykuly-spozywcze,Y,w porcji 100 g,519 kcal,28 g,15 g,60 g,39 g,5.5 g,0.3 g,1.3 g,
0000000068,Gellwe Kwasek cytrynowy 20 g,artykuly-spozywcze,N,,,,,,,,,,
0000017698,Culineo Bulion warzywny 120g,artykuly-spozywcze,Y,w porcji 100 g,255 kcal,15 g,9.5 g,22 g,7.8 g,5.7 g,41.3 g,2.1 g,
0000016761,Podravka Vegeta 400g,artykuly-spozywcze,Y,w porcji 100 g,157 kcal,0.5 g,0.3 g,27 g,22 g,8.5 g,56.9 g,5 g,
0000001522,Toffifee 200 g,artykuly-spozywcze,Y,w porcji 100 g,522 kcal,28.8 g,12.7 g,59 g,48.9 g,6 g,0.26 g,,
0000009585,Lubella Owsianka z bananami kakao 100 g,artykuly-spozywcze,Y,w porcji 100 g,79 kcal,1 g,0.2 g,15 g,10 g,1.9 g,0 g,1.5 g,
0000004240,Big-Active herbata zielona Pure Green 100g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,
0000009521,Go Active Musli z orzechami i kawą 200 g,artykuly-spozywcze,Y,w porcji 100 g,456 kcal,22 g,2.8 g,42 g,4.7 g,17 g,0.06 g,11 g,
0000004682,Krakus Konserwa Luncheon Meat 300 g,artykuly-spozywcze,Y,w porcji 100 g,291 kcal,26 g,10 g,0.2 g,0 g,14 g,2.2 g,,
0000008581,Nic Nac's XXL 250 g,artykuly-spozywcze,Y,w porcji 100 g,543 kcal,35 g,6.9 g,37 g,7.1 g,17 g,2 g,5.8 g,
0000005970,Cafe d'Or Crema Kawa rozpuszczalna o smaku czekolady 75 g,artykuly-spozywcze,N,,,,,,,,,,
0000003651,Milka Oreo MMMAX 300g,artykuly-spozywcze,Y,w porcji 100 g,553 kcal,34 g,19 g,56 g,48 g,5.2 g,0.44 g,1.4 g,
0000007764,Winiary Zupa Jarzynowa 48 g,artykuly-spozywcze,Y,w porcji 100 ml,22 kcal,0.4 g,0.2 g,3.8 g,0.5 g,0.7 g,0.65 g,0.3 g,
0000011229,King Oscar Sałatka z tuńczykiem w stylu indyjskim 220 g,artykuly-spozywcze,Y,w porcji 100 g,107 kcal,2.7 g,0.3 g,11 g,5 g,8.4 g,0.9 g,2.5 g,
0000009055,Crunchips X-Cut Chipsy ziemniaczane o smaku kebab 140 g,artykuly-spozywcze,Y,w porcji 100 g,524 kcal,32 g,2.4 g,51 g,1.2 g,5.7 g,1.3 g,4.5 g,
0000007673,Krakus Barszcz koncentrat butelka 300 ml,artykuly-spozywcze,Y,w porcji 100 ml,206 kcal,0.5 g,0.1 g,44 g,41 g,6.7 g,7.4 g,,
0000009255,Remsey Herbata czarna z imbirem i kurkumą 20 torebek 40 g,artykuly-spozywcze,Y,w porcji 100 ml,2 kcal,,,,,0 g,,,
0000000903,Słodka Kraina Graciella kakaowa 400 g,artykuly-spozywcze,Y,w porcji 100 g,400 kcal,20 g,12 g,51 g,33 g,4.5 g,0.6 g,1.5 g,
0000015418,Melvit Otręby owsiane 200 g,artykuly-spozywcze,Y,w porcji 100 g,365 kcal,7 g,1.5 g,55 g,1 g,14 g,0.1 g,13 g,
0000013206,Rapsodia Produkt 100% owoców truskawka 250 g,artykuly-spozywcze,Y,w porcji 100 g,165 kcal,0.5 g,0.1 g,40 g,38 g,0.7 g,0.02 g,1.5 g,
0000002836,Remsey Rozgrzej się! Smak cytryny imbiru i miodu 40 g,artykuly-spozywcze,N,,,,,,,,,,
0000015711,Nuss Milk Krem orzechowo-kakaowy 350 g,artykuly-spozywcze,Y,w porcji 100 g,540 kcal,37 g,7.9 g,51 g,6.9 g,6.5 g,0.15 g,2.6 g,38 g
0000008001,Magnetic Big Biscuits Czekolada mleczna 300 g,artykuly-spozywcze,Y,w porcji 100 g,551 kcal,34 g,20 g,54 g,48 g,6.1 g,0.44 g,2 g,
0000004244,Drop Pasztet z dodatkiem kaczki 160 g,artykuly-spozywcze,Y,w porcji 100 g,201 kcal,17 g,6.7 g,4.1 g,0.7 g,7.9 g,1.3 g,,
0000009054,Crunchips X-Cut Chipsy ziemniaczane kurczak w ziołach 140 g,artykuly-spozywcze,Y,w porcji 100 g,519 kcal,31 g,2.4 g,52 g,1 g,5.8 g,1.3 g,4.6 g,
0000006289,Knorr Danie Makaron Boloński 60 g,artykuly-spozywcze,Y,w porcji 100 g,94 kcal,1.9 g,0.9 g,16 g,2.8 g,3.4 g,0.58 g,1.5 g,
0000010870,Knorr Sos sałatkowy francuski 8 g,artykuly-spozywcze,Y,w porcji 100 ml,426 kcal,46 g,6.5 g,4 g,3.2 g,0.5 g,1.5 g,0.7 g,
