item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000009114,Prymat Sól różowa himalajska drobnoziarnista jodowana 350 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,98.3 g,,,,,
0000008015,Magnetic Bąbello Czekolada Smak karmelowy 95 g,artykuly-spozywcze,Y,w porcji 100 g,510 kcal,27.1 g,17.6 g,59.5 g,54.8 g,6.3 g,0.28 g,1.5 g,,,,
0000015943,Rapsodia Dżem z czerwonych porzeczek o obniżonej zawartości cukrów 280 g,artykuly-spozywcze,Y,w porcji 100 g,129 kcal,0.5 g,0.1 g,30 g,30 g,0.5 g,0.01 g,3.1 g,,,,
0000007799,Roleski Street Food Sos do hot dogów i parówek 365 g,artykuly-spozywcze,Y,w porcji 100 g,173 kcal,1.5 g,0.1 g,37 g,33 g,1.6 g,2.4 g,,,,,
0000016415,Wawel Pastylka miętowa  w czekoladzie 210 g,artykuly-spozywcze,Y,w porcji 100 g,387 kcal,6.3 g,4 g,81 g,68 g,1 g,0.02 g,,,,,
0000016421,Petitki herbatniki w czekoladzie 138 g,artykuly-spozywcze,Y,w porcji 100 g,471 kcal,18 g,9.6 g,69 g,35 g,7.8 g,0.84 g,,,,,
0000007012,Remsey Herbatka na zimno o smaku truskawki i maliny 15 torebek,artykuly-spozywcze,N,,,,,,,,,,,,,
0000002133,Bonitki Markizy z nadzieniem kakaowym 250 g,artykuly-spozywcze,Y,w porcji 100 g,479 kcal,23 g,13 g,61 g,29 g,5.8 g,0.5 g,,,,,
0000007233,St. Dalfour - Owocowa Rapsodia Pomarańcza i Imbir 284 g,artykuly-spozywcze,Y,w porcji 100 g,238 kcal,0 g,0 g,59 g,55 g,0 g,0.06 g,1 g,,,,
0000005800,Felix Carmelove Orzeszki ziemne w karmelu klasyczne 160 g,artykuly-spozywcze,Y,w porcji 100 g,540 kcal,33 g,5.2 g,40 g,35 g,17 g,,5.6 g,17 g,10 g,,
0000005355,Marinero Krewetki w oleju z suszonymi pomidorami 100 g,artykuly-spozywcze,Y,w porcji 100 g,286 kcal,27 g,1.9 g,1.4 g,1.1 g,8.7 g,2.3 g,1.2 g,,,,
0000000900,Delikatesowy Pasztet z pieczarkami 130 g,artykuly-spozywcze,Y,w porcji 100 g,144 kcal,10 g,3.4 g,6.9 g,1.1 g,6.2 g,1.7 g,0.9 g,,,,
0000007062,Herbatka na zimno - Mięta Mango 20 torebek 36 g,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,0 g,0 g,0.5 g,0.5 g,0 g,0 g,0 g,0 g,0 g,0 g,0 g
0000013904,Gala Ulubiona Kawa mielona 450 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000001065,Orbit For Kids Classic 15 listków 39 g,artykuly-spozywcze,Y,w porcji 100 g,142 kcal,,,59.2 g,,,,,,,59.2 g,
0000012120,Cheerios miodowy  250 g,artykuly-spozywcze,Y,w porcji 100 g,376 kcal,3.5 g,0.6 g,73.2 g,22.3 g,8.7 g,0.65 g,8.8 g,,,,
0000009838,Parana Kawa palona mielona 100 g,artykuly-spozywcze,N,,,,,,,,,,,,,
