item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids
0000009700,Go Active Cashew butter Krem z orzechów nerkowca 180 g,artykuly-spozywcze,Y,w porcji 100 g,608 kcal,48 g,9.3 g,19 g,1.6 g,7.9 g,21 g,0.04 g,,
0000005149,Dan Cake Rolada truskawkowa 300 g,artykuly-spozywcze,Y,w porcji 100 g,374 kcal,11 g,5 g,64 g,43 g,,4.4 g,0.65 g,,
0000016418, Bounty Secret Centre Ciasteczka 132 g,artykuly-spozywcze,Y,w porcji 100 g,543 kcal,32 g,20 g,57 g,39 g,,5.6 g,0.32 g,,
0000011227,King Oscar Sałatka z makaronem i tuńczykiem w stylu włoskim 220 g,artykuly-spozywcze,Y,w porcji 100 g,93 kcal,2.6 g,0.4 g,9.8 g,1.8 g,0.5 g,7.3 g,0.8 g,,
0000006892,Dallmayr Crema d'Oro Kawa ziarnista 1 kg,artykuly-spozywcze,N,,,,,,,,,,,
0000006975,Tchibo Exclusive Kawa ziarnista 1000 g ,artykuly-spozywcze,N,,,,,,,,,,,
0000015403,Vitanella Nutilki Płatki zbożowe o smaku orzechowym 350 g,artykuly-spozywcze,Y,w porcji 100 g,460 kcal,19.4 g,1.6 g,63.7 g,25 g,3.5 g,5.8 g,0.14 g,,
0000004148,"Vitanella Chrupiące plasterki jabłka z cynamonem 27,5g",artykuly-spozywcze,Y,w porcji 100 g,364 kcal,0.5 g,0.1 g,81 g,73 g,14 g,2 g,0.01 g,,
0000010014,Milka Wholenuts 270 g,artykuly-spozywcze,Y,w porcji 100 g,554 kcal,35 g,16 g,50 g,49 g,3.2 g,7.9 g,0.31 g,,
0000009357,Dallmayr Home Barista Caffe Crema Forte 1000 g,artykuly-spozywcze,N,,,,,,,,,,,
0000006797,E. Wedel Ptasie mleczko czekoladowe w czekoladzie deserowej 340 g,artykuly-spozywcze,Y,w porcji 100 g,443 kcal,22 g,14 g,56 g,47 g,3.3 g,3 g,0.06 g,,
0000001177,Słodka Kraina Strucla truskawkowa 450 g,artykuly-spozywcze,Y,w porcji 100 g,309 kcal,5.8 g,0.8 g,58 g,25 g,1.2 g,5.5 g,0.37 g,,
0000012053,Nestlé Kangus Puszyste ziarno pszenicy w złocistym miodzie 250 g,artykuly-spozywcze,Y,w porcji 100 g,371 kcal,1.9 g,0.7 g,74 g,27.6 g,11 g,9.1 g,0.01 g,,
0000005221,Biedronka Filety z tuńczyka w oliwie z oliwek 140 g,artykuly-spozywcze,Y,w porcji 100 g,168 kcal,6.9 g,1 g,0.6 g,0 g,0.5 g,26 g,1.3 g,,
0000005686,Cafe d'Or Coffo 2w1 z mlekiem 12 szt. 150 g,artykuly-spozywcze,Y,w porcji 100 g,463 kcal,17 g,15 g,70 g,9.4 g,3 g,5.9 g,0.68 g,,
0000005023,Lavazza Crema E Gusto Classico Mieszanka mielonej kawy palonej 250 g,artykuly-spozywcze,N,,,,,,,,,,,
0000002330,E. Wedel Baryłki klasyczne z alkoholem w czekoladzie deserowej 200 g,artykuly-spozywcze,Y,w porcji 100 g,421 kcal,18 g,11 g,57 g,48 g,3.2 g,2.8 g,0.02 g,,
0000010479,Czaniecki Makaron 5 jajeczny krajanka 250 g,artykuly-spozywcze,Y,w porcji 100 g,371 kcal,3.7 g,1 g,70 g,2.9 g,2.6 g,13 g,0.06 g,,
0000009596,Herbarium Cukier w normie Herbatka ziołowa w torebkach do zaparzania 20 torebek,artykuly-spozywcze,N,,,,,,,,,,,
0000003655,Graal Mexicana Tuńczyk z warzywami 280 g,artykuly-spozywcze,Y,w porcji 100 g,212 kcal,15 g,1.2 g,9.3 g,3.4 g,,8.9 g,0.81 g,,
0000012062,Candi Oranżadowa moc Żelki z nadzieniem owocowym 200 g,artykuly-spozywcze,Y,w porcji 100 g,327 kcal,,,74 g,45 g,,6.1 g,0.01 g,,
0000006064,Culineo Wołowina Teriyaki 93 g,artykuly-spozywcze,Y,w porcji 100 g,249 kcal,12 g,5.3 g,30 g,3 g,1.5 g,4.4 g,1.2 g,,
0000006532,Twoje Słodkie Chwile Mieszanka ciastek kruchych 500g,artykuly-spozywcze,Y,w porcji 100 g,490 kcal,22 g,12 g,66 g,28 g,,5.7 g,0.46 g,,
0000017505,Culineo Bulion drobiowy 120 g,artykuly-spozywcze,Y,w porcji 100 g,247 kcal,17 g,9.8 g,19 g,3.8 g,0.8 g,4.3 g,50.1 g,,
0000001383,Vifon Premium Zupa wietnamska PHO z makaronem ryżowym 60 g,artykuly-spozywcze,Y,w porcji 100 g,46 kcal,0.5 g,0.2 g,9.5 g,0.5 g,,0.8 g,0.8 g,,
0000011216,Oreo original ciastka 44 g,artykuly-spozywcze,Y,w porcji 100 g,476 kcal,20 g,5.4 g,68 g,38 g,,5.3 g,0.73 g,,
0000009544,Top Orzeszki ziemne prażone Smak chili & limonka 240 g,artykuly-spozywcze,Y,w porcji 100 g,594 kcal,49 g,6.4 g,10 g,4.8 g,13 g,21 g,1.7 g,,
0000009764,M&M's Chocolate Czekolada mleczna w kolorowych skorupkach 125 g,artykuly-spozywcze,Y,w porcji 100 g,482 kcal,19 g,12 g,70 g,66 g,,5.2 g,0.17 g,,
0000009302,BakaD'Or Selection Fistaszki 400g,artykuly-spozywcze,Y,w porcji 100 g,608 kcal,49 g,7.8 g,14 g,5.7 g,7.3 g,24 g,0.04 g,,
0000001461,Krakus Szynka konserwowa z galaretką 455 g,artykuly-spozywcze,Y,w porcji 100 g,114 kcal,4.9 g,2 g,0.5 g,0 g,,17 g,2 g,,
0000006984,Top Migdały Prażone w piecu Solone 150 g,artykuly-spozywcze,Y,w porcji 100 g,608 kcal,52 g,4.1 g,8.5 g,4.9 g,11 g,21 g,1 g,,
0000007172,Elios Tahini klasyczne 300 g,artykuly-spozywcze,Y,w porcji 100 g,673 kcal,60 g,9.5 g,3 g,1 g,8.8 g,25 g,0 g,23.7 g,24.9 g
