item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000003207,Lipton Green Tea Citrus 25 torebek,artykuly-spozywcze,Y,w porcji 100 g,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000010986,HiPP BIO Owocowy Przyjaciel Owocowy batonik dla małych dzieci po 1. roku banany-jabłka 23 g,artykuly-spozywcze,Y,w porcji 100 g,359 kcal,5.7 g,0.9 g,70 g,39 g,4.6 g,0.05 g,4.8 g,
0000005112,Milka Zając Wielkanocny 45g,artykuly-spozywcze,Y,w porcji 100 g,541 kcal,31 g,19 g,56 g,55 g,6.4 g,0.28 g,2.3 g,
0000017013,Lipton Herbata zielona mandarynka & pomarańcza (20 torebek) 36 g,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000003206,Lipton herbata zielona o smaku maliny i truskawki 25 torebek,artykuly-spozywcze,N,,,,,,,,,,
0000009460,Lipton Fruit Grejpfrut i Pomarańcza 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000009232,Kamis Mieszanka przyprawowa przyprawa do żeberek 20 g,artykuly-spozywcze,Y,w porcji 100 g,253 kcal,7.3 g,1.1 g,32 g,12 g,9.2 g,30.6 g,,
0000017610,Lipton o smaku Malina i granat Herbata zielona aromatyzowana (20 torebek) 28 g,artykuly-spozywcze,Y,w porcji 100 g,4 kcal,0 g,0 g,0.5 g,0.5 g,0.5 g,,,
0000001694,Airwaves Cool Cassis  10 drażetek 14g,artykuly-spozywcze,Y,w porcji 100 g,151 kcal,0 g,0 g,62.8 g,0 g,0 g,0 g,,62.8 g
0000006871,Ritter Sport czekolada mleczna z całymi migdałami 100g,artykuly-spozywcze,Y,w porcji 100 g,559 kcal,37 g,14 g,45 g,44 g,9.8 g,0.14 g,,
0000009581,Prymat Musztarda Sarepska 180 g ,artykuly-spozywcze,Y,w porcji 100 g,117 kcal,6.3 g,0.2 g,8.8 g,5.7 g,4.9 g,2.2 g,,
0000005829,Milka Zając Wielkanocny 90 g,artykuly-spozywcze,Y,w porcji 100 g,541 kcal,31 g,19 g,56 g,55 g,6.4 g,0.28 g,2.3 g,
0000009757,Twix Ciasteczka oblane karmelem i mleczną czekoladą (5x (2 x 25g)) 250 g,artykuly-spozywcze,Y,w porcji 100 g,493 kcal,24 g,14 g,65 g,48 g,4.6 g,0.39 g,,
0000016633,Winiary Galaretka brzoskwiniowy smak 71 g,artykuly-spozywcze,Y,w porcji 100 g,47 kcal,0 g,0 g,10.3 g,10.3 g,1.5 g,0 g,0 g,
0000001739,Culineo Makaron w sosie gulaszowym 50 g,artykuly-spozywcze,Y,w porcji 100 g,80 kcal,1.2 g,0.6 g,14 g,2.2 g,2.6 g,0.98 g,1.2 g,
0000008608,Culineo Makaron w sosie żółte curry 54 g,artykuly-spozywcze,Y,w porcji 100 g,89 kcal,1.2 g,0.9 g,16 g,2.6 g,3 g,0.9 g,1.3 g,
0000004626,Kamis Grill przyprawa do karkówki 20 g,artykuly-spozywcze,Y,w porcji 100 g,237 kcal,4.9 g,1 g,28 g,10 g,9.1 g,32.2 g,,
0000016413,Lipton Gold 25 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000006872,Ritter Sport Czekolada mleczna z orzechami nerkowca 100g,artykuly-spozywcze,Y,w porcji 100 g,545 kcal,33 g,16 g,52 g,47 g,8.4 g,0.47 g,,
0000009571,"Fritt Guma rozpuszczalna o smaku cytrynowym z witaminą C (6x11,7 g) 70 g",artykuly-spozywcze,Y,w porcji 100 g,401 kcal,8.5 g,5.7 g,79 g,50 g,2 g,0.01 g,,
0000009459,Lipton Fruit Malina i Żurawina 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.5 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000004625,Kamis Grill klasyczny przyprawa 25 g,artykuly-spozywcze,Y,w porcji 100 g,234 kcal,6.2 g,0.8 g,22 g,14 g,8.3 g,33.1 g,,
0000015496,Kamis Mieszanka przyprawowa grill klasyczny 20 g,artykuly-spozywcze,Y,w porcji 100 g,230 kcal,6.4 g,0.9 g,27 g,9.4 g,8.8 g,33 g,,
0000015495,Kamis Mieszanka przyprawowa grill pikantny 20 g ,artykuly-spozywcze,Y,w porcji 100 g,223 kcal,6.4 g,1 g,26 g,11 g,8.4 g,32.1 g,,
0000005745,Przysnacki Chipsy w kotle prażone papryka czerwona 125 g,artykuly-spozywcze,Y,w porcji 100 g,505 kcal,28 g,2.8 g,54 g,3.6 g,6.3 g,,,
0000019682,Bonitki Kruszynki z czekoladą deserową i mleczną 190g,artykuly-spozywcze,Y,w porcji 100 g,468 kcal,21 g,12 g,63 g,35 g,6.6 g,0.53 g,2.3 g,
0000011826,Alpro Owsiane original 1 l,artykuly-spozywcze,Y,w porcji 100 g,46 kcal,1.5 g,0.2 g,6.6 g,3.3 g,0.8 g,0.08 g,1.4 g,
0000010558,Lavazza Qualità Rossa kawa mielona 250 g,artykuly-spozywcze,N,,,,,,,,,,
