item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids
0000018652,Dawtona Passata Intenso zioła polskie 500 g,artykuly-spozywcze,Y,w porcji 100 g,58 kcal,0.5 g,0.1 g,9.4 g,6.7 g,2.8 g,2.1 g,0.34 g,,
0000005041,Asia Flavours Mleczko kokosowe 400 ml,artykuly-spozywcze,Y,w porcji 100 ml,169 kcal,18 g,15 g,1.5 g,1.5 g,,1.2 g,0.07 g,,
0000011977,Go Vege Hummus paprykowy 160 g,artykuly-spozywcze,Y,w porcji 100 g,242 kcal,17 g,1.8 g,12 g,2.1 g,8.1 g,6.1 g,1.2 g,,
0000006947,Kamis Mieszanka przyprawowa pieprz cytrynowy 20 g,artykuly-spozywcze,Y,w porcji 100 g,197 kcal,1 g,0.4 g,37 g,14 g,,6.2 g,30.1 g,,
0000007375,Nasza Spiżarnia Fasola czerwona konserwowa 400 g,artykuly-spozywcze,Y,w porcji 100 g,101 kcal,0.5 g,0.1 g,14 g,2 g,7 g,7.3 g,0.8 g,,
0000000828,EL Toro Rojo Oliwki zielone drylowane 340 g,artykuly-spozywcze,Y,w porcji 100 g,144 kcal,15 g,2 g,0 g,0 g,2.8 g,0.9 g,3.7 g,,
0000015466,Marinero Tuńczyk kawałki w oleju roślinnym 170 g,artykuly-spozywcze,Y,w porcji 100 g,313 kcal,27 g,4.3 g,0.5 g,0 g,0 g,17 g,0.72 g,,
0000012511,Pudliszki Koncentrat pomidorowy 190 g ,artykuly-spozywcze,Y,w porcji 100 g,99 kcal,0.5 g,0.2 g,17 g,17 g,3.7 g,5.3 g,0.09 g,,
0000015391,Pastani Makaron Conchiglie Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,354 kcal,1.5 g,0.4 g,71 g,2.9 g,3 g,12 g,0.01 g,,
0000000115,Nasza Spiżarnia Groszek konserwowy 400 g,artykuly-spozywcze,Y,w porcji 100 g,80 kcal,0.8 g,0.2 g,8.7 g,1.6 g,8 g,5.5 g,0.69 g,,
0000006098,Mutti Polpa Pomidory drobno krojone bez skórek 400 g,artykuly-spozywcze,Y,w porcji 100 g,26 kcal,0.2 g,0.1 g,3.9 g,2.8 g,,1.2 g,0.3 g,,
