item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,polyols
0000015405,Marinero Tuńczyk jednolity w oleju słonecznikowym 3 x 70 g,artykuly-spozywcze,Y,w porcji 100 g,186 kcal,9 g,1 g,0.1 g,0 g,0 g,26 g,1.5 g,
0000001726,Kamis Musztarda rosyjska 180 g,artykuly-spozywcze,Y,w porcji 100 g,141 kcal,8.4 g,0.5 g,8.9 g,6.6 g,,6 g,2.43 g,
0000011978,Go Vege Hummus klasyczny 160 g,artykuly-spozywcze,Y,w porcji 100 g,269 kcal,21 g,2.7 g,7.9 g,0.5 g,9.8 g,7.3 g,0.82 g,
0000009748,Knorr Nudle Zupa danie ser w ziołach 61 g,artykuly-spozywcze,N,,,,,,,,,,
0000002467,Knorr Nudle Zupa-danie pomidorowe pikantne 63 g,artykuly-spozywcze,N,,,,,,,,,,
0000006099,Mutti Passata butelka 700 g,artykuly-spozywcze,Y,w porcji 100 g,36 kcal,0.5 g,0.1 g,5.1 g,4.5 g,,1.6 g,0.5 g,
0000007933,Vitanella Baton Protein bez dodatku cukrów 27% białka 49 g,artykuly-spozywcze,Y,w porcji 100 g,492 kcal,31 g,17 g,30 g,17 g,2.4 g,27 g,0.47 g,10 g
0000005517,goBIO Ryż basmati 500g,artykuly-spozywcze,Y,w porcji 100 g,349 kcal,1.1 g,0.5 g,76 g,0.5 g,2.8 g,8.2 g,0.01 g,
0000016247,Knorr Fix mac'n cheese 33 g ,artykuly-spozywcze,Y,w porcji 100 g,435 kcal,20 g,12 g,48 g,3.9 g,0.9 g,14 g,8.2 g,
0000015091,Crunchips Pieczone Żeberka 140 g,artykuly-spozywcze,Y,w porcji 100 g,529 kcal,33 g,2.5 g,50 g,2.6 g,4.4 g,5.8 g,1.3 g,
0000011638,Plony Natury Ryż parboiled długoziarnisty 400 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,0.8 g,0 g,80 g,0 g,2.7 g,6.9 g,0 g,
0000008782,Lajkonik Talarki krakowskie 200 g,artykuly-spozywcze,Y,w porcji 100 g,432 kcal,13 g,1.2 g,66 g,3 g,3.5 g,11 g,3.6 g,
