item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000011649,Szlachecki Makaron Wstęgi 400 g,artykuly-spozywcze,Y,w porcji 100 g,363 kcal,2.8 g,0.9 g,70 g,2.4 g,14 g,0.03 g,,
0000001742,Top Tortilla Chipsy kukurydziane Solone 150 g,artykuly-spozywcze,Y,w porcji 100 g,494 kcal,25 g,2.3 g,59 g,2.5 g,5.9 g,1.2 g,5.2 g,
0000015653,"Remsey Herbata zielona aromatyzowana o smaku owoców cytrusowych 32,5 g",artykuly-spozywcze,N,,,,,,,,,,
0000004417,Pastani Makaron tagliatelle Durum 400g,artykuly-spozywcze,Y,w porcji 100 g,364 kcal,1.9 g,0.5 g,73 g,2.7 g,12 g,0.01 g,3.2 g,
0000016092,Knorr Fix spaghetti 4 sery z brokułami 39 g,artykuly-spozywcze,Y,w porcji 100 g,450 kcal,23 g,8.9 g,45 g,5 g,14 g,8.4 g,1.4 g,
0000002917,Magnetic Mella galaretka w czekoladzie o smaku pomarańczowym 190g,artykuly-spozywcze,Y,w porcji 100 g,366 kcal,7.2 g,4.3 g,72 g,60 g,0.8 g,0.16 g,,
0000009061,Łowicz Konfitura extra z wiśni obniżonej zawartości cukrów 240 g,artykuly-spozywcze,Y,w porcji 100 g,171 kcal,0.5 g,0.1 g,41 g,41 g,0.6 g,0 g,,
0000010772,Pudliszki Sos do spaghetti po bolońsku 500 g,artykuly-spozywcze,Y,w porcji 100 g,53 kcal,0.6 g,0.1 g,9.2 g,6.3 g,1.7 g,,2 g,
0000017518,Nestlé Cheerios Zbożowe kółeczka z miodem 375 g,artykuly-spozywcze,Y,w porcji 100 g,374 kcal,3.6 g,0.8 g,71.1 g,22.3 g,9.4 g,0.66 g,9.8 g,
0000008852,Milka Czekolada mleczna 100 g,artykuly-spozywcze,Y,w porcji 100 g,539 kcal,31 g,19 g,57 g,55 g,6.5 g,0.28 g,2.3 g,
0000001330,Sottile Gusto Pomidory suszone w oleju z ziołami z pestkami dyni 270/150 g,artykuly-spozywcze,Y,w porcji 100 g,225 kcal,17 g,1.6 g,10 g,10 g,4.9 g,3.1 g,,
0000007153,El Toro Rojo Kapary w zalewie 100 g,artykuly-spozywcze,Y,w porcji 100 g,26 kcal,0.5 g,0.1 g,2.4 g,0.5 g,2 g,5.6 g,3 g,
0000001857,Makaron Szlachecki 5 jajeczny 250 g,artykuly-spozywcze,Y,w porcji 100 g,367 kcal,3.2 g,0.9 g,72 g,2.3 g,12 g,0.04 g,,
0000000121,Top Paluszki solone 400 g,artykuly-spozywcze,Y,w porcji 100 g,389 kcal,5.2 g,0.9 g,73 g,3.8 g,11 g,3 g,4.1 g,
