item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000016412,Lipton Earl Grey Lemon 25 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000016363,Tic Tac Drażetki o smaku owoców yuzu mandarynki cytryny oraz cytryny-limetki 54 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,0.6 g,0.6 g,94.9 g,90.1 g,0.1 g,0.02 g,,
0000006308,7 Days Bake Rolls Chrupki chlebowe z otrębami pszennymi o smaku pizzy 160 g,artykuly-spozywcze,Y,w porcji 100 g,436 kcal,16.5 g,7.2 g,54 g,10 g,14 g,2.35 g,7.7 g,
0000008976,Kamis Pieprz czarny mielony 36 g,artykuly-spozywcze,N,,,,,,,,,,
0000006581,Remsey Herbatka aromatyzowana owocowo  o smaku  maliny i truskawki 20 torebek 40 g,artykuly-spozywcze,N,,,,,,,,,,
0000009526,Go Active Granola wysokobiałkowa z czekoladą i morelą 200 g,artykuly-spozywcze,Y,w porcji 100 g,442 kcal,16 g,2.9 g,38 g,14 g,30 g,0.12 g,13 g,
0000003594,Ritter Sport czekolada mus kakao 100 g,artykuly-spozywcze,Y,w porcji 100 g,2400 kcal,39 g,23 g,47 g,46 g,7.4 g,0.27 g,,
0000000943,Magnetic Czekolada mleczna nadziewana Malinowa 100 g,artykuly-spozywcze,Y,w porcji 100 g,515 kcal,29 g,17 g,58 g,56 g,5.2 g,0.21 g,1.1 g,
0000015675,Nuss Milk Krem kakaowo-mleczny o smaku orzechowym 400 g,artykuly-spozywcze,Y,w porcji 100 g,571 kcal,37 g,8.2 g,55 g,54 g,3.9 g,0.13 g,2 g,
0000015385,Nasza Spiżarnia Wiśnie drylowane 680 g,artykuly-spozywcze,Y,w porcji 100 g,76 kcal,0.4 g,0.1 g,17.5 g,16.3 g,0.4 g,0 g,0 g,
0000003589,Ritter Sport Czekolada mleczna z rodzynkami w rumie i orzechami laskowymi 100 g,artykuly-spozywcze,Y,w porcji 100 g,522 kcal,28 g,15 g,56 g,54 g,6.3 g,0.15 g,,
0000003561,Plony Natury Mąka żytnia T 2000 Pełnoziarnista 1 kg,artykuly-spozywcze,N,,,,,,,,,,
0000004098,Barilla Pesto Rosso z pomidorami serem i orzechami 200 g,artykuly-spozywcze,Y,w porcji 100 g,324 kcal,28 g,3.7 g,13.2 g,7.5 g,3.8 g,3 g,2 g,
0000015947,Plony Natury Ciecierzyca ziarno 500 g,artykuly-spozywcze,Y,w porcji 100 g,342 kcal,6.2 g,0.8 g,45 g,2.7 g,19 g,0.01 g,15.7 g,
0000001004,Tasso Wafelki z kremem kakaowym 450 g,artykuly-spozywcze,Y,w porcji 100 g,499 kcal,26 g,14 g,60 g,30 g,5.6 g,0.45 g,,
0000009752,Snickers Czekolada mleczna z nugatem i nadzieniem karmelowym z orzeszkami ziemnymi 50 g,artykuly-spozywcze,Y,w porcji 100 g,489 kcal,23 g,7.7 g,60 g,51 g,8.7 g,0.52 g,,
0000015378,Rapsodia Dżem morelowy słodzony ksylitolem 250 g,artykuly-spozywcze,Y,w porcji 100 g,88 kcal,0.5 g,0 g,31 g,3 g,0.6 g,0.03 g,1 g,26 g
0000004262,Nestle Corn Flakes Płatki sniadaniowe miód i orzeszki płatki 250 g,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,4.4 g,1 g,79.2 g,26.8 g,7.6 g,0.93 g,5.1 g,
0000009168,Lotus Biscoff Herbatniki karmelizowane 125 g,artykuly-spozywcze,Y,w porcji 100 g,484 kcal,19 g,8 g,72.6 g,38.1 g,4.9 g,0.92 g,1.3 g,
0000007271,Bakallino Orzechy laskowe 300 g,artykuly-spozywcze,Y,w porcji 100 g,656 kcal,61 g,8.2 g,6.7 g,3.5 g,15 g,0 g,11 g,
0000011813,Milka Hazelnuts Toffee 300 g,artykuly-spozywcze,Y,w porcji 100 g,553 kcal,35 g,17 g,52 g,51 g,5.9 g,0.39 g,1.8 g,
0000004339,Krakus Gulasz angielski 300 g,artykuly-spozywcze,Y,w porcji 100 g,233 kcal,19 g,7.6 g,0.5 g,0 g,15 g,1.8 g,,
0000006799,Elios Oliwki Zielone z Czosnkiem 340/180 g,artykuly-spozywcze,Y,w porcji 100 g,138 kcal,14 g,2.1 g,1.8 g,0.6 g,1.3 g,3.45 g,1.5 g,
0000005729,MK Café Premium Gold Kawa rozpuszczalna 175 g,artykuly-spozywcze,N,,,,,,,,,,
0000004283,Barilla Sos Arrabbiata pomidorowy z ostrą papryczką 400 g,artykuly-spozywcze,Y,w porcji 100 g,64 kcal,3.1 g,0.3 g,6.9 g,5 g,1.4 g,0.95 g,1.5 g,
0000015665,Madero Premium Ketchup Pikantny 300 g,artykuly-spozywcze,Y,w porcji 100 g,113 kcal,0.2 g,0.1 g,23.7 g,20.7 g,1.9 g,1.9 g,1.9 g,
0000009229,Ketchup premium łagodny sycylijski do pizzy 465 g,artykuly-spozywcze,Y,w porcji 100 g,120 kcal,0.5 g,0.1 g,27 g,25 g,1.9 g,2.3 g,,
0000007310,Dr. Oetker Śmietan-fix 9 g,artykuly-spozywcze,Y,w porcji 100 g,369 kcal,0 g,0 g,92 g,48 g,0.1 g,0.01 g,,
0000013868,"Alpro owsiane 3,5% tł., Nie mlek* 1 l",artykuly-spozywcze,Y,w porcji 100 ml,59 kcal,3.5 g,0.4 g,5.7 g,0 g,0.7 g,0.12 g,1 g,
0000002308,Nasza spiżarnia Korniszony z chili 680g,artykuly-spozywcze,Y,w porcji 100 g,17 kcal,0.5 g,0.1 g,1.5 g,0.5 g,1.3 g,1.3 g,2 g,
0000010859,MK Café Crema Kawa ziarnista 1000 g,artykuly-spozywcze,N,,,,,,,,,,
0000015044,Dare Ciasto marmurkowe 200 g,artykuly-spozywcze,Y,w porcji 100 g,400 kcal,16 g,8.2 g,57 g,26 g,5 g,1.3 g,2.1 g,
