item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000016871,Nestlé Cheerios Zbożowe kółeczka z miodem 375 g,artykuly-spozywcze,Y,w porcji 100 g,374 kcal,3.6 g,0.8 g,71.1 g,22.3 g,9.8 g,9.4 g,0.66 g,,,,
0000008142,Madero Sałatkowy sos musztardowo- ogórkowy 410 g,artykuly-spozywcze,Y,w porcji 100 g,282 kcal,22 g,1.6 g,19 g,16 g,1.2 g,1.7 g,2.1 g,,,,
0000012585,Culineo Fix Napoli 45 g,artykuly-spozywcze,Y,w porcji 100 ml,52 kcal,0 g,0.1 g,10 g,7.6 g,1.9 g,1.6 g,1.3 g,,,,
0000009565,"Fritt Guma rozpuszczalna o smaku truskawkowym z witaminą C (6x11,7 g) 70 g",artykuly-spozywcze,Y,w porcji 100 g,401 kcal,8.5 g,5.7 g,79 g,50 g,,2 g,0.01 g,,,,
0000006959,Winiary Galaretka wiśniowy smak 71 g,artykuly-spozywcze,Y,w porcji 100 g,47 kcal,0 g,0 g,10.3 g,10.2 g,0 g,1.5 g,,,,,
0000002992,Tasso Familijne wafle Gofrowe z musem o smaku czekoladowym 225 g,artykuly-spozywcze,Y,w porcji 100 g,543 kcal,31 g,17 g,58 g,32 g,,5.9 g,0.41 g,,,,
0000006595,GustoBello Farfalle 6 Sapori 250 g,artykuly-spozywcze,Y,w porcji 100 g,363 kcal,1 g,0.3 g,75 g,2.5 g,3 g,12 g,0.12 g,,,,
0000007061,Herbapol Herbatka na zimno Truskawka i Rabarbar 20 torebek 36 g,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,0 g,0 g,0.5 g,0.5 g,0 g,0 g,0 g,0 g,0 g,0 g,0 g
0000006791,Magnetic Czekolada mleczna z całymi orzechami laskowymi 100 g,artykuly-spozywcze,Y,w porcji 100 g,563 kcal,40 g,17 g,40 g,39 g,4.2 g,9.5 g,0.16 g,,,,
0000008437,Magnat Looney Tunes Jajko w czekoladzie z niespodzianką w środku 20 g,artykuly-spozywcze,Y,w porcji 100 g,556 kcal,33 g,20 g,59 g,58 g,1.1 g,5.3 g,0.25 g,,,,
0000012904,Mazury Ełk Konserwa Luncheon Meat 300 g,artykuly-spozywcze,Y,w porcji 100 g,291 kcal,26 g,10 g,0.2 g,0 g,,1.4 g,,,,,
0000016328,Violife Plastry o smaku Gouda 120 g,artykuly-spozywcze,Y,w porcji 100 g,285 kcal,23 g,21 g,20 g,0 g,,0 g,2.3 g,,,,
0000009761,Kamis Musztarda kremska 185 g,artykuly-spozywcze,Y,w porcji 100 g,100 kcal,4.7 g,0.3 g,8.2 g,6.8 g,,3.5 g,2.23 g,,,,
0000016410,"Lipton Earl Grey Classic herbata czarna 25 torebek 37,5 g",artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,,0.5 g,0.01 g,,,,
0000011485,Cukiernia Róża Ciastka kruche o smaku cytrynowym 220g,artykuly-spozywcze,Y,w porcji 100 g,453 kcal,18 g,7.8 g,66 g,24 g,1.5 g,6 g,1 g,,,,
0000012895,Włocławek Ketchup pikantny 480 g,artykuly-spozywcze,Y,w porcji 100 g,106 kcal,0.5 g,0.1 g,23 g,23 g,,1.7 g,1.6 g,,,,
0000002070,Skittles Crazy Sours Cukierki do żucia 38 g,artykuly-spozywcze,Y,w porcji 100 g,396 kcal,4 g,2.3 g,87.8 g,73.3 g,,0 g,0.02 g,,,,
0000016845,E. Wedel Snack Czekolada mleczna o smaku coli ze strzelającym cukrem 90 g,artykuly-spozywcze,Y,w porcji 100 g,546 kcal,32 g,17 g,56 g,55 g,1.5 g,6.6 g,0.23 g,,,,
0000004627,Kamis Grill pikantny przyprawa 25 g,artykuly-spozywcze,Y,w porcji 100 g,237 kcal,6.4 g,0.9 g,25 g,14 g,,8.6 g,32.1 g,,,,
0000006873,Ritter Sport Czekolada deserowa z całymi prażonymi orzechami laskowymi 100g,artykuly-spozywcze,Y,w porcji 100 g,577 kcal,41 g,16 g,39 g,37 g,,8.4 g,0.01 g,,,,
0000016870,Nestlé Lion Płatki śniadaniowe karmel i czekolada 375 g,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,6.1 g,0.9 g,73.6 g,23.9 g,6.6 g,8.4 g,0.45 g,,,,
0000017014,Lipton Herbata zielona malina & granat (20 torebek) 28 g,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,,0.5 g,0.01 g,,,,
0000005801,Felix Carmelove Orzeszki ziemne w karmelu ze szczyptą soli 160 g,artykuly-spozywcze,Y,w porcji 100 g,530 kcal,33 g,5.1 g,40 g,35 g,5.5 g,17 g,,17 g,10 g,,
0000016390,Winiary Sos pieczeniowy jasny 160 g,artykuly-spozywcze,Y,w porcji 100 ml,35 kcal,1.2 g,0.5 g,5.4 g,1.7 g,,0.4 g,1.4 g,,,,
0000008611,Culineo Ryż w sosie curry 63 g,artykuly-spozywcze,Y,w porcji 100 g,103 kcal,0.9 g,0.7 g,21 g,2 g,0.9 g,2.3 g,1 g,,,,
0000006875,Ritter Sport Czekolada mleczna z całymi prażonymi orzechami laskowymi 100g,artykuly-spozywcze,Y,w porcji 100 g,575 kcal,39 g,15 g,46 g,44 g,,8.7 g,0.14 g,,,,
0000012089,Rapsodia Konfitura ekstra brzoskwiniowa słodzona miodem 230 g,artykuly-spozywcze,Y,w porcji 100 g,146 kcal,0.5 g,0.1 g,34 g,30 g,0.7 g,0.7 g,0.05 g,,,,
0000016635,Lipton Infusion Melissa & Wiśnia 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,,,,
0000009568,"Fritt Guma rozpuszczalna o smaku owoców leśnych z witaminą C (6x11,7 g) 70 g",artykuly-spozywcze,Y,w porcji 100 g,401 kcal,8.5 g,5.7 g,79 g,50 g,,2 g,0.01 g,,,,
0000008167,Bonitki Setters Baton orzechowo-mleczny 40 g,artykuly-spozywcze,Y,w porcji 100 g,527 kcal,32 g,14 g,52 g,43 g,2.6 g,6.4 g,0.46 g,,,,
0000015375,Rio Mare pasztet z tuńczyka z oliwkami 115 g,artykuly-spozywcze,Y,w porcji 100 g,206 kcal,17 g,2.9 g,2 g,0.5 g,,11 g,1.5 g,,,,
0000001695,Orbit Peppermint 10 drażetek 14 g,artykuly-spozywcze,Y,w porcji 100 g,149 kcal,0 g,0 g,62.1 g,0 g,,0 g,0 g,,,62.1 g,
