item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000008406,HiPP BIO Batonik Owocowy-Przyjaciel Banany-Jabłka 23 g,artykuly-spozywcze,Y,w porcji 100 g,348 kcal,5 g,2.2 g,69.4 g,47.5 g,4.1 g,0.08 g,,
0000006712,Bonitki Deserowe z cukrem 200 g,artykuly-spozywcze,Y,w porcji 100 g,491 kcal,21 g,10 g,66 g,20 g,8 g,0.6 g,1.4 g,
0000000013,VIFON Curry Zupa błyskawiczna z kluskami o smaku kurczaka (ostra) 70 g,artykuly-spozywcze,Y,w porcji 100 g,72 kcal,3.3 g,1.2 g,9.1 g,0.2 g,1.3 g,0.6 g,,
0000006526,Madero Majonez wyborny z żółtkiem z jaja kurzego z chowu z wolnego wybiegu 400 ml,artykuly-spozywcze,Y,w porcji 100 g,699 kcal,76 g,5.5 g,2.9 g,2.6 g,0.9 g,0.62 g,,
0000003253,Rapsodia 100% Owoców Truskawka 220 g,artykuly-spozywcze,Y,w porcji 100 g,149 kcal,0.5 g,0.1 g,34 g,31 g,0.8 g,0.05 g,,
0000009044,Pringles Paprika 165 g,artykuly-spozywcze,Y,w porcji 100 g,518 kcal,29 g,2.7 g,56 g,3.7 g,6.4 g,1.4 g,3.8 g,
0000007039,Bonduelle Kukurydza złocista 2x85 g,artykuly-spozywcze,Y,w porcji 100 g,80 kcal,1.9 g,0.5 g,10.8 g,5.2 g,2.9 g,0.4 g,3.8 g,
0000005688,"Teekanne Świat Owoców Słodka Brzoskwinia Herbatka owocowa 20 x 2,25g",artykuly-spozywcze,N,,,,,,,,,,
0000010873,Knorr Sos sałatkowy grecki 9 g,artykuly-spozywcze,N,,,,,,,,,,
0000001384,Vifon Premium Zupa tajska lau thai 80 g,artykuly-spozywcze,Y,w porcji 100 g,84 kcal,4 g,1.3 g,10.3 g,0.4 g,1.6 g,0.9 g,,
0000008856,Milka Strawberry czekolada mleczna 100 g,artykuly-spozywcze,Y,w porcji 100 g,560 kcal,35 g,20 g,57 g,56 g,4 g,0.23 g,1.2 g,
0000004715,Gourmes Ciecierzyca Grao De Bico 540g,artykuly-spozywcze,Y,w porcji 100 g,99 kcal,2.2 g,0.3 g,14 g,0.9 g,6.2 g,0.6 g,6.1 g,
0000002307,Nasza spiżarnia Korniszony delikatesowe 680g,artykuly-spozywcze,Y,w porcji 100 g,16 kcal,0.5 g,0.1 g,1.4 g,0.5 g,1.4 g,1.3 g,1.9 g,
0000006397,HIT markizy czekoladowe ciastka 220 g,artykuly-spozywcze,Y,w porcji 100 g,496 kcal,23 g,16 g,64 g,30 g,6.9 g,0.59 g,,
0000008764,Bakallino Śliwki suszone bez pestek 300 g,artykuly-spozywcze,Y,w porcji 100 g,240 kcal,0.6 g,0.1 g,51 g,38 g,2.4 g,0.01 g,11 g,
0000008763,Bonitki Rurki z kremem o smaku kokosowym 280 g,artykuly-spozywcze,Y,w porcji 100 g,517 kcal,26 g,12 g,65 g,41 g,5.4 g,0.14 g,1.2 g,
0000008148,Sottile Gusto Pomidory suszone w oleju z ziołami paski 270/150 g ,artykuly-spozywcze,Y,w porcji 100 g,244 kcal,20 g,1.5 g,9.3 g,9.3 g,3.9 g,3.2 g,5.5 g,
0000010871,Knorr Sos sałatkowy włoski 8 g,artykuly-spozywcze,N,,,,,,,,,,
0000016280,Alpro Migdałowe Barista 750 ml,artykuly-spozywcze,Y,w porcji 100 ml,25 kcal,1.2 g,0.1 g,2.5 g,2.5 g,0.5 g,0.08 g,0.2 g,
0000009858,Go Vege Barista owies 1 l,artykuly-spozywcze,Y,w porcji 100 ml,58 kcal,3 g,0.3 g,5.5 g,1.1 g,1.7 g,0.11 g,0.9 g,
0000009043,Pringles Sour Cream & Onion 165 g,artykuly-spozywcze,Y,w porcji 100 g,525 kcal,30 g,2.8 g,56 g,2.5 g,6 g,1.3 g,3.4 g,
0000017763,Dawtona Koncentrat pomidorowy 190 g,artykuly-spozywcze,Y,w porcji 100 g,101 kcal,0 g,0 g,19 g,16 g,4.3 g,0.05 g,3.9 g,
0000016143,Alpro Owsiane Barista 750 ml,artykuly-spozywcze,Y,w porcji 100 ml,59 kcal,3 g,0.3 g,6.7 g,3.3 g,0.8 g,0.13 g,1 g,
0000016094,Knorr Fix gulasz węgierski 46 g,artykuly-spozywcze,Y,w porcji 100 g,318 kcal,3.9 g,0.9 g,60 g,21 g,6.9 g,11.8 g,9.2 g,
0000000074,Mamba Guma owocowa rozpuszczalna 106 g,artykuly-spozywcze,Y,w porcji 100 g,396 kcal,5.9 g,3.2 g,84.3 g,62.1 g,1.6 g,0.01 g,,
0000016900,Orbit Refreshers Bubblemint Guma do żucia bez cukru (12 drażetek) 26g,artykuly-spozywcze,Y,w porcji 100 g,168 kcal,0 g,0 g,70 g,0 g,0 g,0 g,,70 g
0000006985,Top Nerkowce prażone solone 150 g,artykuly-spozywcze,Y,w porcji 100 g,582 kcal,45 g,8.8 g,19 g,9.1 g,21 g,1 g,7.1 g,
0000008641,Knorr Rosół z kury (12 x 10 g) 120 g,artykuly-spozywcze,N,,,,,,,,,,
0000001285,Lipton herbata czarna aromatyzowana brzoskwinia i mango 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0 g,0 g,0.5 g,0.5 g,0.5 g,0 g,,
0000000447,Rapsodia Dżem truskawkowy o obniżonej zawartości cukrów 410 g,artykuly-spozywcze,Y,w porcji 100 g,140 kcal,0.1 g,0.1 g,33 g,32 g,0.6 g,0 g,,
