item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000000130,Plony Natury Kasza gryczana prażona 400 g,artykuly-spozywcze,Y,w porcji 100 g,143 kcal,1.3 g,0.3 g,25 g,1.3 g,3.2 g,5.8 g,0.02 g,,,,
0000005351,Go Vege Migdał 1 l,artykuly-spozywcze,Y,w porcji 100 g,30 kcal,1.4 g,0.1 g,3.7 g,2.7 g,0.1 g,0.6 g,0.13 g,,,,
0000009567,"Fritt Cukierek rozpuszczalny o smaku grejpfrutowym z witaminą C (6 x 11,7 g) 70 g",artykuly-spozywcze,Y,w porcji 100 g,401 kcal,8.5 g,5.7 g,79 g,50 g,,2 g,0.01 g,,,,
0000015427,Jeżyki Classic ciastka w czekoladzie mlecznej 140 g,artykuly-spozywcze,Y,w porcji 100 g,479 kcal,21 g,11 g,64 g,46 g,,5.3 g,0.43 g,,,,
0000006713,Bonitki Deserowe z masłem 200 g,artykuly-spozywcze,Y,w porcji 100 g,494 kcal,23 g,11 g,63 g,15 g,1.5 g,8.3 g,0.65 g,,,,
0000004332,Jacobs Kronung Kawa mielona 500 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000016742,REEVA zupka błyskawiczna o smaku sera i boczku 62 g,artykuly-spozywcze,Y,w porcji 100 g,403 kcal,17.2 g,8.4 g,53.1 g,2.8 g,2.5 g,7.5 g,5.3 g,,,,
0000000371,Magnetic Chałwa sezamowa o smaku waniliowo - kakaowym 100 g,artykuly-spozywcze,Y,w porcji 100 g,528 kcal,31 g,5.5 g,46 g,25 g,5.1 g,13 g,0.02 g,,,,
0000015983,Firma Roleski Sos czosnkowy aioli 300 g,artykuly-spozywcze,Y,w porcji 100 g,387 kcal,38 g,4.5 g,9.6 g,4.8 g,,1.2 g,1.8 g,,,,
0000004652,Plony Natury Kasza bulgur z pszenicy twardej 400 g,artykuly-spozywcze,Y,w porcji 100 g,329 kcal,1.4 g,0.3 g,62 g,1.5 g,14 g,10 g,0.01 g,,,,
0000016022,WINIARY Pomysł na... Zapiekanka makaronowa z szynką 35 g,artykuly-spozywcze,Y,w porcji 100 ml,115 kcal,3.2 g,1.7 g,15.3 g,0.8 g,0.5 g,6 g,0.56 g,,,,
0000004777,Gellwe Słodki Kubek Kisiel z kawałkami owoców smak wiśniowy 28 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000002710,"Herbata zielona Green Tea Pomegranate 20 x 1,75 g",artykuly-spozywcze,Y,w porcji 100 g,4 kcal,0 g,0 g,0 g,0.1 g,0 g,0 g,0 g,0 g,0 g,0 g,0 g
0000016021,Winiary Pomysł na... Garnek chłopski 40 g,artykuly-spozywcze,N,,,,,,,,,,,,,
0000004961,Winiary Sos tatarski 250 ml,artykuly-spozywcze,Y,w porcji 100 ml,611 kcal,63.7 g,4.9 g,7.9 g,7.6 g,1 g,1 g,1.4 g,,,,
0000010441,"Dr. Oetker Słodka Chwila Kisiel owoce leśne z owocami, 31,5 g",artykuly-spozywcze,Y,w porcji 100 g,59 kcal,0 g,0 g,14 g,8.8 g,,0.1 g,0.03 g,,,,
0000001057,Culineo Sos pieczeniowy jasny 30 g,artykuly-spozywcze,Y,w porcji 100 ml,32 kcal,0.4 g,0.3 g,6.2 g,1.9 g,0.3 g,0.8 g,1.3 g,,,,
0000009867,Nestlé Nesquik Zbożowe kuleczki o smaku czekoladowym 375 g,artykuly-spozywcze,Y,w porcji 100 g,378 kcal,3 g,0.7 g,74.6 g,22.1 g,9.3 g,8.7 g,0.22 g,,,,
0000000320,KitKat Chunky Peanut Butter Paluszek waflowy w mlecznej czekoladzie 42 g,artykuly-spozywcze,Y,w porcji 100 g,528 kcal,29.8 g,14.9 g,54 g,41.4 g,3 g,9.2 g,0.54 g,,,,
0000017520,Nestlé Lion Płatki śniadaniowe karmel i czekolada 375 g,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,6.1 g,0.9 g,73.6 g,23.9 g,6.6 g,8.4 g,0.45 g,,,,
0000009717,Amberfish Szproty wędzone w oleju 250 g,artykuly-spozywcze,Y,w porcji 100 g,356 kcal,32 g,18.1 g,0 g,0 g,,17 g,,,,,
0000001014,Culineo Sos Spaghetti 520g,artykuly-spozywcze,Y,w porcji 100 g,49 kcal,0.6 g,0.1 g,8.3 g,8.3 g,0.9 g,1.6 g,1.4 g,,,,
0000009635,Go Active Kaszka proteinowa cynamonowa 200 g,artykuly-spozywcze,Y,w porcji 100 g,78 kcal,1.5 g,0.9 g,8.6 g,4.8 g,0.2 g,7.5 g,0.25 g,,,,
0000001192,Diamant cukier puder 500 g,artykuly-spozywcze,Y,w porcji 100 g,400 kcal,0 g,0 g,100 g,100 g,0 g,0 g,0 g,0 g,0 g,0 g,0 g
0000010771,Pudliszki Sos do makaronu z pieczarkami 500 g,artykuly-spozywcze,Y,w porcji 100 g,58 kcal,1.1 g,0.1 g,9.6 g,6.6 g,1.7 g,1.6 g,,,,,
0000004066,Grula Skrobia ziemniaczana 1 kg,artykuly-spozywcze,Y,w porcji 100 g,324 kcal,0 g,0 g,81 g,0.6 g,,0 g,0.1 g,,,,
0000002828,Diamant cukier trzcinowy Demerara 500g,artykuly-spozywcze,Y,w porcji 100 g,400 kcal,0 g,0 g,100 g,100 g,,0 g,0.01 g,,,,
0000016923,Cheetos Chrupki kukurydziane o smaku pizzy 120 g,artykuly-spozywcze,Y,w porcji 100 g,488 kcal,23 g,2 g,63 g,4.4 g,1.9 g,6.2 g,1.6 g,,,,
0000000126,Magnetic Kakao o obniżonej zawartości tłuszczu Extra ciemne 200 g,artykuly-spozywcze,Y,w porcji 100 g,309 kcal,11 g,6.4 g,13 g,0.5 g,31 g,24 g,0.06 g,,,,
0000011943,Go Vege Napój owsiany 750 ml,artykuly-spozywcze,Y,w porcji 100 ml,55 kcal,2.1 g,0.2 g,7.8 g,5.5 g,1.3 g,0.6 g,0.09 g,,,,
0000002097,Bonitki Herbatniki maślane Pełnoziarniste 250 g,artykuly-spozywcze,Y,w porcji 100 g,467 kcal,16 g,10 g,73 g,23 g,,7 g,0.5 g,,,,
0000005687,"Teekanne Fruit Love Herbatka owocowa 20 x 2,25g",artykuly-spozywcze,N,,,,,,,,,,,,,
