item_id,item_name,item_type,nutrition_flag
0000005884,Le Petit Marseillais żel pod prysznic Biała Brzoskwinia Bio & Nektarynka Bio 400 ml,drogeria,N
0000007769,Dada Pieluchomajtki Pants 5 Junior 12-18 kg 35 szt.,drogeria,N
0000009185,Luksja Creamy & Soft Kremowe mydło w kostce Róża i Proteiny mleka 90 g,drogeria,N
0000012075,Colgate Advanced White Aktywny węgiel Pasta do zębów 75 ml,drogeria,N
0000014897,Oral-B Essential Nić dentystyczna miętowa 50 m,drogeria,N
0000014883,Linda Sól do kąpieli Floral Harmony 800 g,drogeria,N
0000008391,o.b. ProComfort Super 32 szt.,drogeria,N
0000016867,Nivea MEN Antyperspirant w Kulce Black&White Invisible Original 50 ml,drogeria,N
0000018302,Adidas Active Start Żel pod prysznic dla mężczyzn 400 ml,drogeria,N
0000015879,Nivea Black & White Invisible Clear Antyperspirant dla kobiet w spray'u 200 ml,drogeria,N
0000017122,Sensodyne Extra Whitening Pasta do zębów z fluorkiem 75 ml,drogeria,N
0000016085,Nivea Diamond & Argan Oil Żel Pod Prysznic 500 ml,drogeria,N
0000019433,Listerine Cool Mint Łagodny Smak płyn do płukania ust 500 ml,drogeria,N
0000019434,Listerine Cool Mint płyn do płukania jamy ustnej 500 ml,drogeria,N
0000014704,"Pampers Premium Care Pieluszki, rozmiar 1, 50 sztuk, 2kg-5kg",drogeria,N
0000015874,Nivea DRY COMFORT roll-on Antyperspirant 50 ml,drogeria,N
0000012047,Colgate Triple Action Original Mint Pasta do zębów 75 ml,drogeria,N
0000018541,AXE Jungle Fresh Żel pod prysznic 400 ml,drogeria,N
0000009663,Adidas Fresh antyperspirant w sprayu dla mężczyzn 200 ml,drogeria,N
0000016090,Nivea Creme Smooth Kremowy żel pod prysznic 500 ml,drogeria,N
0000010391,Queen Supreme premium comfort Papier toaletowy 9 rolek,drogeria,N
0000004202,Palmolive MEN Refreshing odświeżający żel pod prysznic dla mężczyzn 3w1 eukaliptus sól morska 500 ml,drogeria,N
0000005430,Garnier Fructis Grow Strong Odżywka wzmacniająca do włosów osłabionych 200 ml,drogeria,N
0000006833,Elly Fresh Wkładki chłonne dla wrażliwego pęcherza 10 szt.,drogeria,N
0000004645,Luksja Creamy & Soft Kremowe mydło w płynie Len i Mleczko ryżowe opakowanie uzupełniające 900 ml ,drogeria,N
0000001239,Timotei Szampon oczyszczający z ekstraktem z zielonej herbaty 400 ml,drogeria,N
0000002440,Dada Chusteczki nawilżane dla dzieci i niemowląt Ultra Sensitive 64 sztuki,drogeria,N
0000015876,Nivea Pearl & Beauty Antyperspirant damski w spray'u 200 ml,drogeria,N
0000009189,Colgate Max Fresh Cooling Crystal odświeżająca oddech pasta do zębów 75 ml,drogeria,N
0000009186,Luksja Creamy & Soft Kremowe mydło w kostce Len i Mleczko ryżowe 90 g,drogeria,N
0000018248,STR8 Red Code Dezodorant w sprayu 150 ml,drogeria,N
0000011418,L'Oréal Paris Elseve Dream Long Odżywka rozplątująca 200 ml,drogeria,N
0000003452,Johnson's Top-To-Toe płyn do mycia ciała i włosów 500 ml,drogeria,N
0000009260,Luksja Creamy & Soft Kremowy płyn do kąpieli Mleczko bawełniane i Prowitamina B5 900 ml,drogeria,N
0000003975,Gliss Color Perfector Szampon 400 ml,drogeria,N
0000016532,Luksja Creamy & Soft Kremowe mydło w płynie Róża i Proteiny mleka opakowanie uzupełniające 900 ml,drogeria,N
0000015868,Nivea Fresh Ocean 0% Soli Aluminium Dezodorant Roll ON 50 ml,drogeria,N
0000001950,Discreet Waterlily Multiform wkładki higieniczne 60 szt.,drogeria,N
0000007781,Dada Exstra Soft Chusteczki nawilżane sensitive 80 szt,drogeria,N
0000018310,Adidas Power Booster Dezodorant w kulce dla mężczyzn 50 ml,drogeria,N
0000016866,Nivea MEN Black&White Invisible Fresh Antyperspirant w kulce 50 ml,drogeria,N
0000017463,Carefree Cotton Feel Flexiform Wkładki higieniczne świeży zapach 56 sztuk,drogeria,N
0000009184,Luksja Creamy & Soft Kremowe mydło w kostce Mleczko bawełniane i Prowitamina B5 90 g,drogeria,N
0000003958,Schauma Color Shine Szampon do włosów farbowanych i rozjaśnianych 400 ml,drogeria,N
0000009180,Colgate Total Aktywna Świeżość Pasta do zębów 75 ml,drogeria,N
0000016249,NIUQI Krem CC multifunkcyjny 4in1 01 Natural 30 ml,drogeria,N
0000016110,Dove Hydrate Żel pod prysznic 450 ml,drogeria,N
0000017118,Sensodyne ProSzkliwo Extra Fresh Pasta do zębów z fluorkiem 75 ml,drogeria,N
0000002121,Colgate Max White Szczoteczka do zębów średnia 2 szt.,drogeria,N
0000001410,Oceania Ozonowa świeżość żel pod prysznic 500 ml,drogeria,N
0000014705,"Pampers Premium Care Pieluszki, rozmiar 2 4kg-8kg 46 sztuk",drogeria,N
0000012129,Durex Excite Mix Prezerwatywy 8 sztuk,drogeria,N
0000002441,Dada Chusteczki nawilżane dla dzieci i niemowląt Aloe Care 64 sztuki,drogeria,N
0000007572,Old Spice Whitewater Męski żel pod prysznic i szampon 400 ml,drogeria,N
0000007460,Be Beauty Care Żel aloesowy 200 ml,drogeria,N
0000004839,Dove Men+ Care Extra Fresh Żel 3w1 400ml,drogeria,N
0000006832,Elly fresh Wkładki chłonne dla wrażliwego pęcherza Normal 12 szt,drogeria,N
0000009639,Adidas Fresh Endurance antyperspirant w kulce dla kobiet 50 ml,drogeria,N
0000005887,Le Petit Marseillais żel pod prysznic Truskawka Bio 400 ml,drogeria,N
0000015872,Nivea Fresh Rose Touch Antyperspirant roll-on 50 ml,drogeria,N
0000009181,Colgate Total Original Pasta do zębów 75 ml,drogeria,N
0000008389,Carefree Cotton Aloe Wkładki higieniczne 56 szt.,drogeria,N
0000018393,Garnier Fructis Grow Strong Szampon wzmacniający 400 ml,drogeria,N
0000003955,Schauma Fresh it up! Szampon 400 ml,drogeria,N
0000007684,Durex Originals Wyrób medyczny żel intymny 50 ml,drogeria,N
0000003447,Rexona Aloe Vera sztyft 40ml,drogeria,N
0000009660,Adidas Fresh Endurance antyperspirant w sprayu dla mężczyzn 200 ml,drogeria,N
0000017246,Taft pianka Shine Ultra Strong 200 ml,drogeria,N
0000005792,Pantene Pro-V Aqua Light Szampon do włosów przetłuszczających się 400 ml,drogeria,N
0000013152,Gillette Venus Riviera Maszynki jednorazowe 3 szt.,drogeria,N
0000018959,Fa Men żel pod prysznic Volcano Force 400 ml,drogeria,N
0000007417,Wilkinson Sword Xtreme3 Beauty Jednorazowa maszynka do golenia 1 szt.,drogeria,N
0000016095,Nivea MEN Sensitive Łagodzący Żel pod prysznic dla mężczyzn o skórze wrażliwej 500 ml,drogeria,N
0000004001,Elmex Przeciw Próchnicy pasta do zębów 75 ml,drogeria,N
0000009261,Luksja Creamy & Soft Kremowy płyn do kąpieli Róża i Proteiny mleka 900 ml,drogeria,N
0000005925,Be Beauty Care Skarpetki złuszczające do stóp 2 x 20 ml,drogeria,N
0000014670,Dada Pieluchomajtki XXL 28 sztuk,drogeria,N
0000014882,Linda Sól do kąpieli Coconut pleasure 800 g,drogeria,N
0000009179,Colgate Total Wybielanie wybielająca pasta do zębów 75 ml,drogeria,N
0000002092,Dentix Advanced Care Kompleksowa ochrona 9w1 Extra Mint Płyn do płukania jamy ustnej 500 ml,drogeria,N
0000002110,Lactacyd Femina Płyn do higieny intymnej 200 ml,drogeria,N
0000009646,Adidas Power Booster antyperspirant w sprayu dla kobiet 200 ml,drogeria,N
0000017120,Aquafresh Little Teeth Pasta do zębów z fluorkiem 50 ml,drogeria,N
0000006939,Gillette Venus 3 Colors Maszynka do golenia 1 szt.,drogeria,N
0000005975,Pinio Musująca kula do kąpieli z niespodzianką w środku 150 g,drogeria,N
0000015865,Nivea Men Black&White Invisible Original Antyperspirant 200 ml,drogeria,N
0000002479,L'ORÉAL PARIS Elseve Color-Vive Odżywka Ochronna do włosów farbowanych 200 ml,drogeria,N
0000003981,Gliss Ultimate Repair Szampon 400 ml,drogeria,N
0000008567,elmex Sensitive Whitening Pasta do zębów 75 ml,drogeria,N
0000016446,Colgate Max White Luminous Wybielająca pasta do zębów z fluorem 75 ml,drogeria,N
0000002368,Bella Perfecta Ultra Blue Podpaski 20 szt.,drogeria,N
0000008048,"Pampers Pants Pieluchomajtki, rozmiar 5, 28 sztuk, 12kg-17kg",drogeria,N
0000008050,Pampers Active Baby 4 9kg-14kg 46 Pieluszek,drogeria,N
0000006260,Niuqi Suchy Szampon 200ml,drogeria,N
0000005509,Be Beauty Care Krem do rąk nawilżający 125 ml,drogeria,N
0000004850,Gliss Liquid Silk Odżywka 200 ml,drogeria,N
0000008298,Taft Shine Lakier do włosów 250 ml,drogeria,N
0000009107,L'Oréal Paris Elseve Color Vive Szampon Ochronny do włosów farbowanych 400 ml,drogeria,N
0000016111,Dove Gentle Pamper Żel pod prysznic 450 ml,drogeria,N
0000018312,Adidas 6 w 1 Antyperspirant w kulce dla mężczyzn 50 ml,drogeria,N
0000008387,Carefree Plus Long Wkładki higieniczne świeży zapach 40 sztuk,drogeria,N
0000012629,Femina Tampony Essential protection Normal 32 szt.,drogeria,N
0000005556,Be Beauty Maszynki do golenia 4 szt.,drogeria,N
0000012133,Gillette Sensor3 Maszynka do golenia Rączka maszynki + 3 ostrza,drogeria,N
0000015134,Garnier Mineral 6-in1 Protection Floral Fresh Antyperspirant 50 ml,drogeria,N
0000012057,Nike Woman 5th Element Dezodorant perfumowany 75 ml,drogeria,N
0000011922,Nivea przeciwzmarszczkowy + ujędrniający krem na dzień SPF15 45+ 50 ml,drogeria,N
0000015132,Garnier mineral Action control 72h Antyperspirant 50 ml,drogeria,N
0000011461,Naturella Classic Maxi Camomile Podpaski ze skrzydełkami x16,drogeria,N
0000003271,Femina Emulsja do higieny intymnej Sensitive 400 ml,drogeria,N
0000017314,Le Petit Marseillas Żel pod prysznic 3w1 dla mężczyzn - Imbir i Cyprys  400 ml ,drogeria,N
0000016098,Nivea MEN Silver Protect ŻEL POD Prysznic DLA Mężczyzn 500 ml,drogeria,N
0000003812,Be Beauty Care Velvet Orchid & Argan Żel pod prysznic Kremowy 700 ml,drogeria,N
0000009268,"Gillette Mach3 Ostrza wymienne do maszynki do golenia dla mężczyzn, 2 ostrza wymienne",drogeria,N
0000015133,Garnier mineral Invisible protection 48h Antyperspirant 50 ml,drogeria,N
0000017093,Garnier Botanic Therapy Szampon przeciw wypadaniu włosów olejek rycynowy & migdał 400 ml,drogeria,N
0000005973,Pinio Musująca kula do kąpieli z niespodzianką w środku 150 g,drogeria,N
0000017896,Timotei Szampon do włosów blond z ekstraktem z rumianku 400 ml,drogeria,N
0000003811,Be Beauty Care Creamy Sensation Żel pod prysznic Kremowy 700 ml,drogeria,N
0000008375,Head & Shoulders Deep Hydration with Coconut oil Szampon przeciwłupieżowy z olejkiem kokosowym 400 ml,drogeria,N
0000005513,Be Beauty Care Krem do rąk regenerujący 125 ml,drogeria,N
0000011462,Naturella Classic Normal Rozmiar 1 Podpaski ze skrzydełkami × 18,drogeria,N
0000001626,"Garnier Body Intensywne Ujędrnienie Odżywczy balsam ujędrniający, 400 ml",drogeria,N
0000004818,Elmex Kids Pasta do zębów dla dzieci 0-6 lat 50 ml,drogeria,N
0000016073,Nivea Odświeżający Żel do mycia twarzy do cery normalnej i mieszanej 150 ml,drogeria,N
0000011460,Naturella Classic Night Camomile Podpaski ze skrzydełkami x14,drogeria,N
0000009873,Bella Normal Podpaski 20 szt.,drogeria,N
0000002912,NIVEA Nawilżająca pianka do golenia ORIGINALS 200 ml,drogeria,N
0000016806,Old Spice Captain Dezodorant do ciała w aerozolu 150 ml,drogeria,N
0000002364,Bella Perfecta Ultra EXTRA SOFT night Podpaski 14szt.,drogeria,N
0000002367,Bella Perfecta Ultra Rose Podpaski 20 szt.,drogeria,N
0000004161,Elmex Sensitive pasta do zębów na nadwrażliwość 75 ml,drogeria,N
0000015860,Nivea MEN Silver Protect Antybakteryjny Antyperspirant w spray'u 200 ml,drogeria,N
0000003121,"Palmolive Naturals Coconut&Milk, kremowy żel pod prysznic 500 ml",drogeria,N
0000018954,FA Żel pod prysznic Coconut Milk 400 ml,drogeria,N
0000008377,Sensodyne Expert Soft Szczoteczka do zębów 1 szt.,drogeria,N
