item_id,item_name,item_type,nutrition_flag
0000003992,Palette Permanent Naturals Color Creme Farba do włosów trwale koloryzująca średni brąz 700 4-0 szt.,drogeria,N
0000002246,Gillette Mach3 Extra Comfort Żel do golenia dla mężczyzn 240 ml ,drogeria,N
0000002126,Wellaflex Lakier do włosów Brilliant Colours 300 ml,drogeria,N
0000009282,Nivea SUN Spray na słońce dla dzieci Kids Protect & Care SPF 30 200ml,drogeria,N
0000004274,Nivea Care 5w1 Lekki krem do twarzy na noc 100 ml,drogeria,N
0000017117,Sensodyne ProSzkliwo Pasta do zębów z fluorkiem delikatne wybielanie 75 ml,drogeria,N
0000014203,Joanna Sensual Vegan Plastry do depilacji ciała 12 sztuk i Tubka z oliwką łagodzącą 10 ml,drogeria,N
0000018417,Blend-a-med Complete Protect 7 Extra Fresh Pasta do zębów 75 ml,drogeria,N
0000014396,Regina Chusteczki Rumiankowe 96 sztuk,drogeria,N
0000006924,Nivea SUN Balsam ochronny na słońce dla dzieci Kids Ultra SPF 50+ 150ml,drogeria,N
0000011710,"Eveline Cosmetics Wonder Match Velour Cheek&Lip Róż i pomadka w płynie, nr 03 4,5 ml",drogeria,N
0000005367,Garnier Płyn micelarny pielęgnujący 400 ml,drogeria,N
0000012995,Schauma 7 Herbs Freshness Odżywka do włosów przetłuszczających się i normalnych 250 ml,drogeria,N
0000008386,"Carefree Plus Large Aloe, wkładki higieniczne 46 szt.",drogeria,N
0000015716,Colgate Slim Soft White Szczoteczka do zębów 1 szt.,drogeria,N
0000015585,"bruno banani Made for Men dezodorant w sprayu mężczyzn, 75 ml",drogeria,N
0000016296,Aquafresh Advance Pasta do zębów z fluorkiem 9-12 lat 75 ml,drogeria,N
0000011146,Lacalut Aktiv Płyn do higieny jamy ustnej i zębów 300 ml,drogeria,N
0000003868,Tołpa green oils matowienie Orzeźwiający krem-żel matujący 50 ml,drogeria,N
0000011317,Eveline Cosmetics Skoncentrowana Formuła Serum regenerujące 18 ml,drogeria,N
0000015685,Himalaya Gum Expert Ziołowa pasta przeciwdziałająca przebarwieniom zębów Stain Away 75 ml,drogeria,N
0000013973,Eveline Cosmetics Gold&Retinol Przeciwzmarszczkowy krem odżywczy 60+ na dzień i na noc 50 ml,drogeria,N
0000011168,STR8 Red Code woda po goleniu 100 ml ,drogeria,N
0000012983,Syoss Anti Grease Suchy szampon do włosów przetłuszczających się 200 ml,drogeria,N
0000002705,Taft Shine Ultra Strong pianka 200 ml,drogeria,N
0000014701,Eveline Cosmetics My Beauty Elixir Smooth Pineapple Wygładzające serum rozjaśniające 20 ml,drogeria,N
0000002366,Bella ideale night Podpaski 7 sztuk,drogeria,N
0000012984,Syoss Pure Fresh Suchy szampon 200 ml,drogeria,N
0000005078,Bambino Płyn do kąpieli 400 ml,drogeria,N
0000009173,Sensodyne Natural White pasta do zębów wybielająca z węglem aktywnym 75 ml,drogeria,N
0000003984,Palette Permanent Naturals Color Creme Farba do włosów trwale koloryzująca skandynawski blond L6-0 szt.,drogeria,N
0000014438,Dove Gentle Scrub Żel pod prysznic 450 ml,drogeria,N
