item_id,item_name,item_type,nutrition_flag
0000014515,Luksja Hipoalergiczny żel pod prysznic olej z konopi i nagietek 500 ml,drogeria,N
0000014179,Rexona Invisible Antyperspirant 50 ml,drogeria,N
0000014742,STR8 Game Dezodorant w aerozolu 150 ml,drogeria,N
0000014820,HiPP Babysanft Sensitive Krem przeciw odparzeniom 75 ml,drogeria,N
0000015831,AA Pure Derma normalizująca woda micelarna 400 ml,drogeria,N
0000011170,Soraya Kombucha Naturalny żel do mycia twarzy 150 ml,drogeria,N
0000014434,Carefree Plus Normal Wkładki higieniczne świeży zapach 56 sztuk,drogeria,N
0000013948,Wella Deluxe Bogaty olejek do włosów suchych 100 ml,drogeria,N
0000013918,Londa Color Farba do trwałej koloryzacji jasny złoty brąz 7/73,drogeria,N
0000013941,Nike Woman Sweet Blossom Dezodorant w kulce 50 ml,drogeria,N
0000014751,STR8 żel pod prysznic 400ml Red Code,drogeria,N
0000013389,"Viscoplast™ Plastry Kubuś i Przyjaciele, 72 mm x 25 mm, pudełko/10 szt.",drogeria,N
0000018182,Nivea Przeciwzmarszczkowy + Modelujący krem na noc 65+ 50 ml,drogeria,N
0000014740,STR8 Faith Dezodorant w aerozolu 150 ml,drogeria,N
0000014430,Axe Ice Chill Dezodorant w sztyfcie 50 ml,drogeria,N
0000014492,Wellaflex Sensual Rose Suchy szampon 180 ml,drogeria,N
0000014748,STR8 Rise Odświeżający żel pod prysznic 400 ml,drogeria,N
0000014177,Rexona Aloe Vera Antyperspirant 50 ml,drogeria,N
0000012970,"Pantene Pro-V Hydration SOS, Odżywka w spray'u bez spłukiwania 150 ml",drogeria,N
0000014585,Joanna Power Men Color Cream Farba 02 Dark Brown,drogeria,N
0000013943,Londa Color Farba do trwałej koloryzacji mokka brąz 3/75,drogeria,N
0000016392,Always Ultra Sensitive Super Plus (rozmiar 2) Podpaski ze skrzydełkami 16 szt.,drogeria,N
0000009640,Adidas Pro Invisible antyperspirant w kulce dla kobiet 50 ml,drogeria,N
0000005421,"Pantene Lively Color, odżywka do włosów farbowanych 200 ml",drogeria,N
0000011923,Nivea Przeciwzmarszczkowy + Rewitalizujący krem na dzień SPF 15 55+ 50 ml,drogeria,N
0000013307,Nivea 24H Nawilżenia Odświeżający krem na noc cera normalna i mieszana 50 ml,drogeria,N
0000013997,Nivea Fresh Blossom Antyperspirant dla kobiet Spray 150 ml,drogeria,N
0000014493,Wellaflex Sweet Sensation Suchy szampon 180 ml,drogeria,N
0000013938,Nike Woman Ultra Pink Dezodorant w kulce 50 ml,drogeria,N
0000014595,Wella Wellaton Intense Krem koloryzujący granatowa czerń 1/0,drogeria,N
0000014606,Wella Wellaton Intense Krem koloryzujący ognista czerwień 6/45,drogeria,N
0000015835,AA Flowers&Oils 55+ Ujędrnienie Krem przeciwzmarszczkowy na dzień i na noc 50 ml,drogeria,N
