item_id,item_name,item_type,nutrition_flag
0000014496,Wella Wellaflex 2nd Day Volume Pianka do włosów 200 ml,drogeria,N
0000014581,Joanna Multi Cream Color Farba do włosów różany blond 31.5,drogeria,N
0000014557,Nivea Creme Soft Kremowy żel pod prysznic 750 ml,drogeria,N
0000019566,Head & Shoulders Deep Hydration with Coconut oil Szampon przeciwłupieżowy z olejkiem kokosowym 400 ml,drogeria,N
0000011148,Scholl PediMask Odżywcza maska z olejkiem lawendowym 1 para,drogeria,N
0000014452,Dove Body Love Restoring Care Krem do rąk 75 ml,drogeria,N
0000014011,Bielenda Water Balance Intensywnie nawilżające serum-booster 30 g,drogeria,N
0000015793,Himalaya Gum Expert Ziołowa wybielająca pasta do zębów w żelu Active White 75 ml,drogeria,N
0000006622,Fa żel pod prysznic Attraction Force 400 ml,drogeria,N
0000005285,Nivea MEN Anti Grease Męski szampon do włosów przetłuszczających się 400 ml,drogeria,N
0000014609,Wellaton krem koloryzującybardzo jasny popielaty blond 12/1 ,drogeria,N
0000014487,Wella Wellaton Krem intensywnie koloryzujący ciemny brąz 3/0,drogeria,N
0000015697,Dezodorant w naturalnym spray'u Mexx Ice Touch Man 75 ml,drogeria,N
0000014414,"Gillette Classic Pianka do golenia do skóry wrażliwej, 200 ml",drogeria,N
0000014497,Wellaflex Fullness Volume Pianka do włosów 200 ml,drogeria,N
0000014576,Joanna Multi Cream Color Farba do włosów orzechowy brąz 39,drogeria,N
0000014180,Rexona Sexy Bouquet Antyperspirant w kulce dla kobiet 50 ml,drogeria,N
0000015632,HiPP Babysanft Sensitive Pianka-kaczuszka do mycia twarzy i rąk 250 ml,drogeria,N
0000013314,Viscoplast Zestaw plastrów kolorowy 4 rozmiary 17 sztuk,drogeria,N
0000014779,Nike Man Ultra Blue Dezodorant w aerozolu 200 ml,drogeria,N
0000014444,Axe Wild Mojito & Cedarwood Dezodorant w aerozolu dla mężczyzn 150 ml,drogeria,N
0000014185,Joanna Ultra Color Koloryzująca odżywka odcienie czerwieni 100 g,drogeria,N
0000009661,Adidas Power Booster Antyperspirant w aerozolu dla mężczyzn 200 ml,drogeria,N
0000014350,Wilkinson Sword HYDRO 5 Skin Protection Regular wkłady do maszynki do golenia 4 sztuki,drogeria,N
0000013994,Energy Fresh Antyperspirant w Spray'u 150 ml,drogeria,N
0000018944,Gliss Split Ends Miracle Odżywka 200 ml,drogeria,N
0000014295,AA Vita C Lift 50+ liftingujący krem na dzień wyrównujący koloryt 50 ml,drogeria,N
0000013189,L'Oréal Paris Magic Shampoo Fresh Crush Suchy szampon 200 ml,drogeria,N
0000014613,Wella Deluxe Definition & Protection Pianka do włosów 200ml,drogeria,N
0000014640,MARION Koloryzująca odżywka - VIOLET (purple rain) 2x 35 ml,drogeria,N
0000010876,Nivea Apricot & Apricot Seed Oil Kremowy żel pod prysznic 500 ml,drogeria,N
0000014596,Wellaton Intense Farba do włosów 7/7 Miedziany Brąz 110 ml,drogeria,N
