item_id,item_name,item_type,nutrition_flag
0000018929,Syoss Farba Mroźny Perłowy Blond 9-5,drogeria,N
0000016506,Nivea MEN Fresh Kick Pianka DO Golenia 200 ml,drogeria,N
0000011163,Herbal Care Krem regenerujący do rąk SIEMIĘ LNIANE 100 ml,drogeria,N
0000011431,Blend-a-Med 3D White Luxe Perfection Charcoal Pasta do zębów ze sproszkowanym węglem drzewnym 75 ml,drogeria,N
0000011705,Eveline Cosmetics Retinol&Niacynamid Ultrabogaty krem 60+ modelujący owal twarzy na noc 50 ml,drogeria,N
0000014306,L'biotica Beauty Land Jungle szampon do włosów 200 ml,drogeria,N
0000014439,Dove Men+Care Elements Żel pod prysznic 3 w 1 400 ml,drogeria,N
0000014775,Nike Woman Ultra Pink Dezodorant perfumowany 75 ml,drogeria,N
0000014505,Dove Body Love Invigorating Care Krem do rąk 75 ml,drogeria,N
0000013909,HiPP Babysanft Sensitive Płyn do kąpieli 350 ml,drogeria,N
0000013944,Londa Color Farba do trwałej koloryzacji czarny 2/0,drogeria,N
0000007832,Gliss maska odżywiająca 4w1 400 ml,drogeria,N
0000003448,Rexona Sexy Bouquet Antyperspirant w sztyfcie dla kobiet 40 ml,drogeria,N
0000014445,Axe Gold Temptation dezodorant w aerozolu dla mężczyzn 150 ml,drogeria,N
0000013271,L'Oréal Paris Men Expert Pure Charcoal Peeling przeciw zaskórnikom 100 ml,drogeria,N
0000014551,Aquafresh White & Shine Pasta do zębów z fluorkiem 100 ml,drogeria,N
0000014124,C-Thru Luminous Emerald Zapachowy dezodorant z atomizerem 75 ml,drogeria,N
0000013738,Look Delicious Oczyszczająca maseczka do twarzy z naturalnym peelingiem 10 ml,drogeria,N
0000004853,Gliss Supreme Length Odżywka 200 ml,drogeria,N
0000018175,Nivea Przeciwzmarszczkowy + Modelujący krem na dzień SPF 30 65+ 50 ml,drogeria,N
0000017961,Adidas Floral Dream Woman DNS 75 ml,drogeria,N
0000015584,"Bruno Banani Magic Man - dezodorant w naturalnym spray'u dla mężczyzn, 75ml",drogeria,N
0000014594,Joanna Fluo Color do włosów granat 35 g,drogeria,N
0000014503,Dove Care by Nature Glowing Żel pod prysznic 400 ml,drogeria,N
0000018945,Fa Magic Oil Pink Jasmine Żel pod prysznic o zapachu różowego jaśminu 400 ml,drogeria,N
0000014821,HiPP Babysanft Sensitive Pielęgnacyjny szampon 200 ml,drogeria,N
0000014359,Wilkinson Sword Quattro Essential 4 Precision Sensitive Ostrza do maszynki do golenia 4 sztuki,drogeria,N
0000013925,Londa Color Farba do trwałej koloryzacji platynowy blond 11/0,drogeria,N
0000014776,Nike Woman #TrendyPink Dezodorant perfumowany 75 ml,drogeria,N
0000011924,Nivea Przeciwzmarszczkowy + Rewitalizujący krem na noc 55+ 50 ml,drogeria,N
0000015582,"Bruno Banani Loyal Man - dezodorant w naturalnym spray'u dla mężczyzn, 75ml",drogeria,N
0000014437,Dove Calming Żel pod prysznic 450 ml,drogeria,N
