item_id,item_name,item_type,nutrition_flag
0000013950,Gillette Venus Sensitive Maszynki jednorazowe 3 szt.,drogeria,N
0000013056,Syoss Root Retouch Zmywalny spray maskujący odrosty czerń 120 ml,drogeria,N
0000011124,Undofen Kuracja krem pękające pięty 50 ml,drogeria,N
0000017729,Eveline Cosmetics Gloss Lip Oil Olejek do ust 05 5 ml,drogeria,N
0000011093,Herbal Care Odżywka do włosów wypadających czarna rzepa 200 ml,drogeria,N
0000014035,o.b. Organic Super tampony 16 szt.,drogeria,N
0000016807,Old Spice Dezodorant do ciała w aerozolu Whitewater 150 ml,drogeria,N
0000015596,"Mexx Woman dezodorant w naturalnym sprayu dla kobiet, 75 ml",drogeria,N
0000013945,Londa Color Farba do trwałej koloryzacji ciemny kasztan 4/76,drogeria,N
0000005881,Sensodyne XL Daily Whitening Pasta do zębów z fluorkiem 100 ml,drogeria,N
0000014118,Carex Original Antybakteryjny żel do rąk 50 ml,drogeria,N
0000014302,L'biotica Beauty Land Japan odżywka do włosów 200 ml,drogeria,N
0000016064,"Nivea SUN Lekki, nawilżający krem do twarzy SPF 30 50 ml",drogeria,N
0000015594,"Mexx Black dezodorant w naturalnym sprayu dla kobiet, 75 ml",drogeria,N
0000014304,L'biotica Beauty Land Nordic szampon do włosów 200 ml,drogeria,N
0000010341,Eveline Cosmetics Hair 2 Love Olejkowa maska do włosów wysokoporowatych 300 ml,drogeria,N
0000011161,Wilkinson Sword My Intuition Xtreme3 Comfort Cherry Blossom Maszynka jednorazowa 4 sztuki,drogeria,N
0000017084,Gliss maska Shine Liquid Silk 400 ml,drogeria,N
0000014777,Nike The Perfume Man Dezodorant w aerozolu 200 ml,drogeria,N
0000013548,Le Petit Marseillais Nawilżający żel pod prysznic z aloesem bio 400 ml,drogeria,N
0000011171,Soraya Kombucha Delikatny peeling z kwasami AHA 75 ml,drogeria,N
0000019568,Head&Shoulders Sensitive Scalp Szampon przeciwłupieżowy 400 ml,drogeria,N
0000013545,Aquafresh Big Teeth Płyn do płukania jamy ustnej dla dzieci powyżej 6 roku życia 300 ml,drogeria,N
0000003706,Syoss farba Granatowa Czerń 1-4 1 szt.,drogeria,N
0000005793,Pantene Pro-V Repair & Protect Szampon do włosów suchych i zniszczonych 400 ml,drogeria,N
0000016252,"Dax Sun, przyspieszacz do opalania z masłem kakaowym 200 ml",drogeria,N
0000013125,Syoss Max Hold Żel do włosów 250 ml,drogeria,N
0000014657,Color esperto Spray ochładzający kolor do włosów farbowanych BRĄZ 150 ml,drogeria,N
0000015693,Velvet Excellence Chusteczki uniwersalne 4 warstwy 90 sztuk,drogeria,N
0000015506,Gliss Split Ends Miracle Spajające serum do włosów z rozdwojonymi końcówkami 75 ml,drogeria,N
0000014286,Clinomyn Pasta do zębów dla palaczy 75 ml,drogeria,N
0000014724,Oral-B Pro Kids z postaciami z filmu Kraina lodu Szczoteczka elektryczna,drogeria,N
