item_id,item_name,item_type,nutrition_flag
0000003033,OFF! Max Repelent w aerozolu 100 ml,drogeria,N
0000016179,Eveline Cosmetics Skoncentrowana Formuła Krem głęboko odżywczy 50 ml,drogeria,N
0000014888,Bielenda Skin Academy Solution Serum łagodząco-regenerujące 30 ml,drogeria,N
0000013854,Durex Pleasuremax Prezerwatywy 12 sztuk,drogeria,N
0000014894,Soraya Collagen Expert Regenerujący krem przeciwzmarszczkowy dzień + noc 50 ml,drogeria,N
0000013839,Durex Extra Safe Thicker Prezerwatywy 3 sztuki,drogeria,N
0000015788,FaceBoom Superstar Nawilżająco-rozświetlający krem do twarzy i pod oczy 50 ml,drogeria,N
0000011174,Soraya Kombucha Nawilżający krem na dzień 75 ml,drogeria,N
0000013272,L'Oreal Paris Men Expert Hydra 24 h Krem nawilżający 75 ml,drogeria,N
0000002862,Skino Płyn po goleniu nawilżająco-chłodzący 100ml,drogeria,N
0000018289,Eveline Skoncentrowana Formuła Serum rozświetlające 18 ml,drogeria,N
0000003873,Tołpa green oils naczynka Wzmacniający krem na naczynka 50 ml,drogeria,N
0000007624,Niuqi Hemp Regenerująca maska-peeling do twarzy 75ml,drogeria,N
0000003991,Palette Permanent Naturals Color Creme Farba do włosów trwale koloryzująca ciemny blond 500/ 6-0 szt.,drogeria,N
0000011123,Undofen Aktywny spray do stóp i obuwia 4 w 1 150 ml,drogeria,N
0000013829,"Pampers Pieluchy Premium Care, R5, 44 pieluchy",drogeria,N
0000012907,"Gillette Fusion5 Maszynka do golenia dla mężczyzn, 1 maszynka, 2 ostrza wymienne",drogeria,N
0000013216,Pampers Sensitive Baby Wipes 4 Packs 4x52 szt.,drogeria,N
0000016182,Eveline Cosmetics Skoncentrowana Formuła Krem aktywnie matujący 50 ml,drogeria,N
0000003324,Neutrogena  Krem Do Rąk I Paznokci 75 ml,drogeria,N
0000018240,Body Care Expert Luksusowe rozświetlające mleczko do ciała 350 ml,drogeria,N
0000003705,Syoss farba Ciemny Brąz 3-1 1 szt.,drogeria,N
0000011702,Eveline Cosmetics Retinol & Niacynamid Skoncentrowany krem ultra liftingujący 50+ na dzień 50ml,drogeria,N
0000014804,Bielenda Coconut Milk Silnie nawilżające serum kokosowe 30 ml,drogeria,N
0000016251,NIUQI Krem BB wyrównujący koloryt 6in1 01 Natural 30 ml,drogeria,N
0000011255,Nivea Balsam do ciała z Olejkiem Jojoba o zapachu Kwiatu Wiśni 400 ml,drogeria,N
0000013845,Durex Performa 12 szt.,drogeria,N
0000008009,Extra Soft Łagodzący krem głęboko nawilżający do twarzy i ciała bio oliwka i aloes 200 ml,drogeria,N
0000003364,Nivea MEN Protect & Care Odświeżająca woda po goleniu 100 ml,drogeria,N
0000001777,Rennie Antacidum 680 mg + 80 mg Tabletki do ssania smak miętowy 24 sztuki,drogeria,N
0000010345,Hair 2 Love Szampon balansujący 400 ml,drogeria,N
0000013846,Durex Intense prezerwatywy 3 szt.,drogeria,N
