item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt
0000001558,Delikate Serek w plastrach kanapkowy klasyczny 150 g,nabial,Y,w porcji 100 g,276 kcal,24 g,16 g,5 g,5 g,0 g,10 g,1 g
0000004197,Piątnica Twój smak aksamitny ziołowy 135g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,,6 g,0.8 g
0000000002,Delma idealna do kanapek 450 g,nabial,Y,w porcji 100 g,347 kcal,39 g,10 g,0.5 g,0.5 g,0.5 g,0.5 g,0.32 g
0000001250,Mleczna Dolina Maślanka naturalna 1 l,nabial,Y,w porcji 100 ml,38 kcal,0.5 g,0.3 g,4.8 g,4.8 g,,3.5 g,0.1 g
0000004992,Delikate Blue Ser pleśniowy 100 g,nabial,Y,w porcji 100 g,366 kcal,31 g,21 g,1.8 g,0 g,,20 g,2.5 g
0000011213,"Łaciate Mleko świeże 3,2 % 1 l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,2 g,4.7 g,4.7 g,,3.2 g,0.1 g
0000002823,Piątnica Twarożek 150 g,nabial,Y,w porcji 100 g,90 kcal,4 g,2.8 g,2.4 g,2 g,,11 g,0.7 g
0000009632,Go Active Kaszka proteinowa smak karmelowy 200 g,nabial,Y,w porcji 100 g,79 kcal,1.5 g,0.9 g,8.7 g,4.7 g,0.2 g,7.5 g,0.25 g
0000001799,Światowid Ser żółty Radamer wędzony 250 g,nabial,Y,w porcji 100 g,1426 kcal,26 g,18 g,1.3 g,0 g,,26 g,1.2 g
0000000295,Śmietanka UHT 12 % 500ml Mleczna Dolina,nabial,Y,w porcji 100 ml,134 kcal,12 g,7.2 g,3.9 g,3.9 g,,2.7 g,0.1 g
0000004935,"Jogurt BIO truskawka, 140 g ",nabial,Y,w porcji 100 g,89 kcal,2.5 g,1.8 g,12.9 g,12 g,,3.5 g,0.1 g
0000000980,Światowid Ser żółty salami plastry 300g,nabial,Y,w porcji 100 g,1463 kcal,27 g,17 g,1.3 g,0 g,0 g,26 g,1.3 g
0000001107,Delikate Serek puszysty klasyczny 150 g,nabial,Y,w porcji 100 g,240 kcal,22 g,15 g,3.2 g,2.7 g,0 g,7.2 g,0.58 g
0000015169,Müller Müllermilch Shake Napój mleczny o smaku białej czekolady i kokosa 400 g,nabial,Y,w porcji 100 g,84 kcal,3.4 g,2.3 g,10.1 g,9.7 g,,3.3 g,0.14 g
0000010533,"Piątnica Mleko Wiejskie 2,0% 1 l",nabial,Y,w porcji 100 g,50 kcal,2 g,1.3 g,4.8 g,4.8 g,,3.2 g,0.1 g
0000001298,Président Twaróg delikatny naturalny 350 g,nabial,Y,w porcji 100 g,134 kcal,10 g,6.5 g,3.8 g,3.3 g,,6.9 g,0.1 g
0000010666,Światowid ser topiony tostowy 130 g,nabial,Y,w porcji 100 g,298 kcal,25 g,17 g,3.3 g,2.2 g,,15 g,2.5 g
0000010689,Światowid Gouda ser topiony 100g,nabial,Y,w porcji 100 g,203 kcal,15 g,10 g,6 g,5.8 g,0 g,11 g,2.2 g
0000019280,Mlekovita SBA Ser wysokobiałkowy sałatkowo-kanapkowy 270 g,nabial,Y,w porcji 100 g,153 kcal,9 g,5.8 g,5.9 g,3.5 g,,12 g,3 g
0000007738,Mlekovita Ser Cheddar wiórki 300 g,nabial,Y,w porcji 100 g,379 kcal,31 g,20 g,0 g,0 g,,25 g,1.7 g
0000006450,Łaciata Śmietanka 30 % UHT  500 ml,nabial,Y,w porcji 100 ml,292 kcal,30 g,19 g,3.3 g,3.3 g,,2.2 g,0.1 g
0000016934,Müllermilch Protein Napój mleczny banan 400 g,nabial,Y,w porcji 100 g,60 kcal,1.5 g,1 g,5 g,5 g,,6.5 g,0.13 g
0000002866,Fruvita Jogurt o smaku pieczonego jabłka 400g,nabial,Y,w porcji 100 g,92 kcal,2.5 g,1.5 g,14.5 g,13.3 g,0.3 g,2.7 g,0.1 g
0000005188,Delikate Kremowy bawarski ser blue 150 g,nabial,Y,w porcji 100 g,442 kcal,43 g,29 g,0.1 g,0.1 g,,13.7 g,1.6 g
0000004367,"President Camembert Naturalny, 120 g",nabial,Y,w porcji 100 g,357 kcal,32 g,20 g,0.5 g,0.5 g,,17 g,1.7 g
0000011457,Fruvita Low Carb jogurt waniliowy 150 g,nabial,Y,w porcji 100 g,47 kcal,1.7 g,1.2 g,1.2 g,0.7 g,,6.8 g,0.09 g
0000005547,Fruvita Protein jogurt truskawkowy 230 g,nabial,Y,w porcji 100 g,72 kcal,1.5 g,0.9 g,6.4 g,6.2 g,0.5 g,8 g,0.15 g
0000019892,Bakoma Jogurt naturalny gęsty 330 g,nabial,Y,w porcji 100 g,58 kcal,2.8 g,2 g,4.9 g,4.9 g,,3.3 g,0.11 g
0000001852,Światowid Ser plastry mierzwione Gouda 150 g,nabial,Y,w porcji 100 g,335 kcal,27 g,16 g,0.1 g,0.1 g,,23 g,2.5 g
0000001924,Activia Jogurt brzoskwinia marakuja 280 g,nabial,Y,w porcji 100 g,60 kcal,0.8 g,0.5 g,9.9 g,9.9 g,,2.9 g,0.11 g
0000003688,Fruvita Jogurt truskawka poziomka 400g,nabial,Y,w porcji 100 g,84 kcal,2.5 g,1.5 g,12.6 g,11.4 g,0.2 g,2.7 g,0.1 g
0000006585,Bakuś Serek waniliowy 90 g,nabial,Y,w porcji 100 g,108 kcal,4 g,2.4 g,12.3 g,11.8 g,,5.8 g,0.1 g
