item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000004820,Elios Ser Feta 150 g,nabial,Y,w porcji 100 g,276 kcal,23 g,16.1 g,0.7 g,0.7 g,16.5 g,2.2 g,,,
0000015438,Danone Danio Jogurt pitny smak ciasteczko 270g,nabial,Y,w porcji 100 g,67 kcal,1.5 g,1 g,9.7 g,9.4 g,3.6 g,0.14 g,,,
0000012007,Müllermilch Shake Limited o smaku Choco Orange Napój mleczny 400 g,nabial,Y,w porcji 100 g,86 kcal,3.4 g,2.3 g,10 g,9.6 g,3.5 g,0.16 g,,,
0000002418,Fruvita Mixo Napój jogurtowy o smaku truskawka banan 700g,nabial,Y,w porcji 100 g,66 kcal,0.8 g,0.5 g,12.9 g,11.4 g,1.7 g,0.1 g,0.03 g,,
0000006484,Światowid Kaszebsczi ser z czarnuszką,nabial,Y,w porcji 100 g,376 kcal,27 g,20 g,2 g,0.5 g,24 g,1.8 g,,,
0000006590,Mleczna Dolina Śmietanka kremówka UHT 36% 500 ml,nabial,Y,w porcji 100 ml,344 kcal,36 g,22 g,3 g,3 g,2 g,0.08 g,,,
0000000796,Światowid Ser żółty Gouda 400 g,nabial,Y,w porcji 100 g,344 kcal,26 g,18 g,1.4 g,0.2 g,26 g,1.5 g,0 g,,
0000004150,Słynne MR Roślinne Margaryna 500 g ,nabial,Y,w porcji 100 g,721 kcal,80 g,28 g,0.5 g,0.5 g,0.5 g,0.15 g,,,
0000008352,"Piątnica Jogurt skyr z jagodami, 150 g",nabial,Y,w porcji 100 g,82 kcal,0 g,0 g,11 g,11 g,9.6 g,0.06 g,,,
0000001560,Delikate Serek w plastrach kanapkowy z ziołami 150 g,nabial,Y,w porcji 100 g,276 kcal,24 g,16 g,5 g,5 g,10 g,1 g,0 g,,
0000007438,"Piątnica Serek Homogenizowany waniliowy, 150 g",nabial,Y,w porcji 100 g,138 kcal,6.3 g,4.4 g,13 g,13 g,7.2 g,0.1 g,,,
0000000153,"Mleczna Dolina Mleko UHT odtłuszczone zawartość tłuszczu 0,5% 1 L",nabial,Y,w porcji 100 ml,35 kcal,0.5 g,0.3 g,4.7 g,4.7 g,3 g,0.1 g,,,
0000002908,Delikate Brie de caracter 200 g,nabial,Y,w porcji 100 g,353 kcal,32 g,19 g,0.5 g,0.5 g,16 g,1.7 g,,,
0000006524,Piątnica Skyr jogurt pitny typu islandzkiego truskawka & kiwi 330 ml,nabial,Y,w porcji 100 g,80 kcal,1.5 g,1.1 g,10 g,10 g,6.5 g,0.08 g,,,
0000006996,GustoBello Grana Padano wiórki 100 g,nabial,Y,w porcji 100 g,398 kcal,29 g,18 g,0 g,0 g,33 g,1.5 g,,,
0000009637,"Go Active Pudding proteinowy, smak czekoladowy 200g",nabial,Y,w porcji 100 g,81 kcal,1.5 g,1 g,6.4 g,5.2 g,10 g,0.25 g,0.9 g,,
0000001139,Światowid Premium Ser Gouda plastry 250g,nabial,Y,w porcji 100 g,335 kcal,27 g,16 g,0.1 g,0.1 g,23 g,1.5 g,,,
0000004573,Finuu klasyczne z fińskiego masła olejów z rzepaku i lnianki Miks tłuszczowy do smarowania 200 g,nabial,Y,w porcji 100 g,682 kcal,75 g,29 g,1.1 g,1.1 g,0.8 g,0 g,,34 g,12 g
0000006452,Robico Kefir Robico 400g,nabial,Y,w porcji 100 g,43 kcal,1.5 g,1 g,4.2 g,4.2 g,3.1 g,0.1 g,,,
0000001846,Mleczna Dolina Kefir 1 kg,nabial,Y,w porcji 100 g,51 kcal,2 g,1.2 g,4.9 g,4.3 g,3.4 g,0.1 g,,,
0000019291,Danone YoPro Jogurt smak banan-krem z orzeszków ziemnych 160 g,nabial,Y,w porcji 100 g,56 kcal,0.1 g,0.1 g,4.4 g,4.1 g,9.4 g,0.09 g,,,
0000001266,aktiplus Truskawka L.casei + witamina B6 + witamina D (6x100 g) 600 g ,nabial,Y,w porcji 100 g,63 kcal,0.9 g,0.5 g,10.8 g,10.7 g,3 g,0.1 g,0 g,,
0000001826,Delikate Serek truskawkowy 385 g,nabial,Y,w porcji 100 g,136 kcal,6.5 g,4.2 g,13.5 g,11.6 g,5.6 g,0.1 g,0 g,,
0000016317,Piątnica  Serek wiejski jabłko cynamon 150 g,nabial,Y,w porcji 100 g,110 kcal,4 g,2.8 g,10 g,10 g,8.6 g,0.5 g,,,
0000004292,Mlekovita Mleko UHT 2% tłuszczu Wypasione 1 l,nabial,Y,w porcji 100 ml,49 kcal,2 g,1.3 g,4.7 g,4.7 g,3.2 g,0.1 g,,,
0000004359,Mlekovita Mleko spożywcze Polskie 2% tłuszczu 1l,nabial,Y,w porcji 100 ml,49 kcal,2 g,1.3 g,4.7 g,4.7 g,3 g,0.1 g,,,
0000004183,Światowid Tylżycki 300g,nabial,Y,w porcji 100 g,312 kcal,24 g,16 g,0 g,0 g,24 g,1.8 g,0 g,,
0000000269,Fruvita Jogurt naturalny gęsty 400g,nabial,Y,w porcji 100 g,57 kcal,2.5 g,1.5 g,5.2 g,5.2 g,3.5 g,0.13 g,0 g,,
0000002422,Fruvita Mixo Napój jogurtowy o smaku truskawka kiwi 700g,nabial,Y,w porcji 100 g,65 kcal,0.8 g,0.5 g,12.8 g,11.3 g,1.7 g,0.13 g,0.02 g,,
0000014672,Go Active Pudding proteinowy smak białej czekolady 200 g,nabial,Y,w porcji 100 g,83 kcal,1.5 g,1 g,7.1 g,4.8 g,10 g,0.31 g,0.1 g,,
0000001921,Activia Drink Mango/Ananas/Siemię Lniane 280 g,nabial,Y,w porcji 100 g,64 kcal,1.1 g,0.57 g,10 g,10 g,3.2 g,0.11 g,,,
0000007511,Moja Kurka Jaja wolny wybieg M 10 szt,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,
