item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000016906,Pepsi-Cola Napój gazowany o smaku cola 330 ml,napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7 g,7 g,0 g,0.01 g,,,,,
0000008853,Vital Fresh Sok pomarańcza-grejpfrut-pitaja 100% 1 l,napoje,Y,w porcji 100 ml,43 kcal,0 g,0 g,8.7 g,8.7 g,0.7 g,0 g,0 g,,,,
0000008382,"Mionetto 0,0% 0,75l",napoje,N,,,,,,,,,,,,,
0000008384,Piccolo Napój gazowany truskawka 750ML,napoje,Y,w porcji 100 ml,44 kcal,0 g,0 g,10.5 g,10.4 g,0 g,0.03 g,,,,,
0000007067,Somersby Bezalkoholowy napój piwny o smaku gruszki 400 ml,napoje,Y,w porcji 100 ml,23 kcal,0 g,0 g,5.7 g,4.8 g,0 g,0 g,,,,,
0000004069,"Polaris Muszyński Naturalna woda mineralna wysokozmineralizowana 1,5 l",napoje,N,,,,,,,,,,,,,
0000008139,Dar Lata Syrop o smaku maliny z cytryną 1 l,napoje,Y,w porcji 100 ml,24 kcal,0 g,0 g,4.9 g,4.9 g,0 g,0.03 g,0 g,0 g,0 g,0 g,0 g
0000011183,Riviva Nektar o smaku czarnej porzeczki z dodatkiem witaminy C 1 l,napoje,Y,w porcji 100 ml,27 kcal,0.5 g,0.1 g,6.5 g,6.5 g,0.5 g,0.01 g,,,,,
0000007667,Herbarium Syrop z czarnego bzu 250 ml,napoje,Y,w porcji 100 ml,264 kcal,0 g,0 g,66 g,62 g,0 g,0 g,,,,,
0000012131,Herbarium Syrop z malin 250 ml,napoje,Y,w porcji 100 ml,264 kcal,0 g,0 g,66 g,64 g,0 g,0 g,,,,,
0000010515,Riviva Spongebob Squarepants Multiwitamina 300 ml,napoje,Y,w porcji 100 ml,22 kcal,0 g,0 g,5 g,4.9 g,0 g,0.01 g,,,,,
0000006399,Warka Radler Piwo bezalkoholowe cytryna 500 ml,napoje,Y,w porcji 100 ml,26 kcal,0 g,0 g,6.4 g,4.5 g,0 g,0 g,,,,,
0000010658,Riviva Sok 100% pomidorowo warzywny 300 ml,napoje,Y,w porcji 100 ml,23 kcal,0.5 g,0.1 g,3.1 g,3.1 g,1 g,1 g,1.9 g,,,,
0000016912,Lipton Ice Tea Peach Napój niegazowany 500 ml,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.6 g,4.4 g,0 g,0.03 g,,,,,
0000016951,Żywiec Zdrój Delikatnie Musujący Woda źródlana 500 ml,napoje,N,,,,,,,,,,,,,
0000008290,Oshee Vitamin Energy Napój gazowany o smaku mięta-limonka-cytryna 250 ml,napoje,Y,w porcji 100 ml,24 kcal,0 g,0 g,4.9 g,4.7 g,0 g,0.01 g,,,,,
0000008494,"Riviva Sok 100% pomarańcza z witaminą C 2,8 l",napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,11 g,0.6 g,0 g,,,,,
0000007922,Żywiec Zdrój Niegazowany 1 l,napoje,N,,,,,,,,,,,,,
0000016986,Fanta Napój gazowany o smaku pomarańczowym 330 ml,napoje,Y,w porcji 100 ml,17 kcal,0 g,0 g,4.1 g,4.1 g,0 g,0.02 g,,,,,
