item_id,item_name,item_type,nutrition_flag
0000013632,"Ariel Proszek do prania Color, 36 prań 1.98 kg",dla-domu,N
0000013182,Vanish Piana do dywanów i tapicerki 600 ml,dla-domu,N
0000013215,Calgon proszek 1 kg,dla-domu,N
0000013880,Ambi Pur Łazienka Cotton Fresh Odświeżacz powietrza 2 X,dla-domu,N
0000014416,Meglio Odkamieniacz 750 ml,dla-domu,N
0000017164,Cillit Bang Power Cleaner Koniec z pleśnią Spray 750 ml,dla-domu,N
0000013407,Botanica by Air Wick Karaibski Wetiwer & Drzewo Sandałowe / Caribbean Vetiver & Sandalwood Komplet 19ml,dla-domu,N
0000017027,Cillit Bang kamień i brud spray 750 ml,dla-domu,N
0000009349,Care&go Guma stylizująca 100 ml,dla-domu,N
0000009350,Care&go Pasta matująca 90 ml,dla-domu,N
0000014417,Meglio Odkamieniacz 650 ml,dla-domu,N
0000017161,Perwoll Renew White Płynny środek do prania (40 prań) 2 l,dla-domu,N
0000017092,Dr. Beckmann Środek czyszczący do tapicerek 400 ml,dla-domu,N
0000017836,Air Wick Active Fresh Owocowa Sangria z Przyprawami/ Spiced Fruity Sangria Wkład 228 ml,dla-domu,N
0000017054,Persil Discs Color 20 prań 330 g,dla-domu,N
0000017055,Persil Discs Universal 20 prań 330 g,dla-domu,N
0000004264,Ace Wybielacz klasyczny 1 l,dla-domu,N
0000012851,Duck Fresh Discs Żelowy krążek do toalety o zapachu morskim 36 ml,dla-domu,N
0000014239,Air Wick Active Fresh Komplet Białe Kwiaty/ Jasmine Bouquet 228 ml,dla-domu,N
0000013414,Botanica by Air Wick Karaibski Wetiwer & Drzewo Sandałowe / Caribbean Vetiver & Sandalwood Room spray 236ml,dla-domu,N
0000014265,"Vizir Proszek do prania Color, 5 prań 275 g",dla-domu,N
0000017145,Persil Discs Color Skoncentrowany środek w kapsułkach do prania 528 g (32 prania),dla-domu,N
0000013568,Bobini Baby Kapsułki do prania do bieli i kolorów (24 prania) 576 g,dla-domu,N
0000013570,Presto Ściereczki nawilżane do powierzchni kamiennych 16 szt.,dla-domu,N
0000014711,Coccolino Care kapsułki do prania tkanin kolorowych ( 27 prań ) 467 g,dla-domu,N
0000014216,Tytan Płyn dezynfekujący łazienki 500 g,dla-domu,N
0000013114,Jan Niezbędny Worki na śmieci Magnum flex & strong z taśmą 35L 15szt,dla-domu,N
0000008765,DR.BECKMANN Środek czyszczący do pralek 250 ml,dla-domu,N
0000018778,Persil Color Proszek do prania 220 g,dla-domu,N
0000007842,Zosia Samosia Rękawice lateksowe rozmiar M 10 szt.,dla-domu,N
0000007843,Zosia Samosia Rękawice lateksowe rozmiar S 10 szt.,dla-domu,N
0000008551,"Ultra Proszek do prania tkanin białych i jasnych 3,25 kg",dla-domu,N
