item_id,item_name,item_type,nutrition_flag
0000014691,"Sofin Complete Care & Freshness FLORAL PASSION Skoncentrowany płyn do płukania tkanin 1,8 l",dla-domu,N
0000014269,"Vizir Proszek do prania Alpine Fresh, 5 prań 275 g",dla-domu,N
0000014215,Tytan Płyn dezynfekujący kuchnie 500 g,dla-domu,N
0000014418,Meglio Lo Sgrassatore Marsiglia Odtłuszczacz uniwersalny 750 ml,dla-domu,N
0000013002,Vanish Gold Powergel 200 ml,dla-domu,N
0000017031,Jan Niezbędny Papier do pieczenia w arkuszach 16 sztuk,dla-domu,N
0000009516,Buwi Premiere Pasta do obuwia bezbarwna 40 ml,dla-domu,N
0000017147,Jan Niezbędny Ściereczka z mikrofibry 1 szt.,dla-domu,N
0000017138,Somat Kapsułki Excellence 5in1 24 szt. 468 g,dla-domu,N
0000013599,Dr. Beckmann Środek do odkamieniania 250 ml,dla-domu,N
0000014459,Quickpack viGO! Premium Rękawiczki nitrylowe L 50 sztuk,dla-domu,N
0000014313,"Ariel Płyn do prania, 17 prań, Sensitive Skin Clean & Fresh",dla-domu,N
0000014766,"Sofin Complete Care PERFUME PLEASURE Skoncentrowany płyn do płukania tkanin 1,8 l",dla-domu,N
0000013561,Jan Niezbędny Worki na śmieci easy-pack zawiązywane niebieskie 35L 30 szt,dla-domu,N
0000013526,Glade Touch & Fresh Relaxing Zen Skoncentrowany odświeżacz powietrza 2 x 10 ml,dla-domu,N
0000017096,Dr. Beckmann Proszek czyszczący do pralek 250 g,dla-domu,N
0000013566,Jan Niezbędny Papier do pieczenia 8 m,dla-domu,N
0000014466,"Perwoll Renew Caps Color 283,5g 21 Prań",dla-domu,N
0000012853,Frosch Płyn do mycia naczyń limonkowy 750 ml ,dla-domu,N
0000014237,Air Wick Active Fresh Komplet Morska Bryza/ Marine Breeze 228 ml,dla-domu,N
0000013603,DR.BECKMANN Odplamiacz precyzyjny Tłuszcz i sosy 50 ml,dla-domu,N
0000013141,Air Wick Elektryczny Owocowa Sangria z Przyprawami/ Spiced Fruity Sangria Komplet 19 ml,dla-domu,N
0000012842,Duck Fresh Discs Tropical Summer Żelowy krążek do toalety 36 ml,dla-domu,N
0000008772,FROSCH Grejpfrutowy środek czyszczący do kuchni 500 ml,dla-domu,N
0000014769,Ludwik Płyn uniwersalny kwiaty orchidei z nutą frezji 1 l,dla-domu,N
0000017073,viGO! Eko Worki LD proste do segregacji żółte 35L 15szt,dla-domu,N
0000012774,Duck Deep Action Pine Żel do czyszczenia i dezynfekcji toalet 750 ml,dla-domu,N
0000004508,Bref Color Aktiv Eukaliptus 2x50 g,dla-domu,N
0000012841,Duck Fresh Discs Firts Kiss Flowers Żelowy krążek do toalety 36 ml,dla-domu,N
0000014755,"SOFIN Complete Care & Black Color Protection Washing Liquid Płyn do prania tkanin czarnych i ciemnych 1,5 l",dla-domu,N
0000014876,Aril Car Cat Odświeżacz o orzeźwiającym zapachu Winter ice 1 szt.,dla-domu,N
0000014757,Ludwik All in one Lemon Tabletki do zmywarek (41 sztuk) 738 g,dla-domu,N
