item_id,item_name,item_link,item_image,item_type
0000017173,Coccolino Passion Flower & Bergamot Płyn do płukania tkanin o zapachu kwiatów passiflory i bergamotki 1275 ml,https://zakupy.biedronka.pl/coccolino-coccolino-passion-flower-and-bergamot-plyn-do-plukania-tkanin-o-zapachu-kwiatow-passiflory-i-bergamotki-1275-ml-0000017173.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw51bb8f09/images/hi-res/BD55D129E36E5BDC3E726D43A3D952DC.jpg?sw=270&sh=270&sm=fit,dla-domu
0000007974,Bispol Świeca zapachowa Białe kwiaty i cytrusy ,https://zakupy.biedronka.pl/bispol-bispol-swieca-zapachowa-biale-kwiaty-i-cytrusy--0000007974.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc7366dc0/images/hi-res/9580E8A3D9C52644CFA79ECCEE4F9E46.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013412,"Pur Power Apple Płyn do mycia naczyń 1,2 l",https://zakupy.biedronka.pl/pur-pur-power-apple-plyn-do-mycia-naczyn-12-l-0000013412.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf1ec91a7/images/hi-res/AD3B869A3BF0274C07B166552822E565.jpg?sw=270&sh=270&sm=fit,dla-domu
0000011757,Meglio Odtłuszczacz uniwersalny cytrynowy 750 ml,https://zakupy.biedronka.pl/meglio-meglio-odtluszczacz-uniwersalny-cytrynowy-750-ml-0000011757.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw39d6ff2b/images/hi-res/19F94D7793C95F118BFBBC27ECED43EB.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017052,Persil Power Caps Universal Skoncentrowany środek do prania (29 prań) 406 g,https://zakupy.biedronka.pl/persil-persil-power-caps-universal-skoncentrowany-srodek-do-prania-29-pran-406-g-0000017052.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw915d4d5f/images/hi-res/6277E93238B7F78087FF0697D39B4A89.jpg?sw=270&sh=270&sm=fit,dla-domu
0000009144,"Varta Energy AAA LR03 1,5 V Bateria alkaliczna 4 sztuki",https://zakupy.biedronka.pl/varta-varta-energy-aaa-lr03-15-v-bateria-alkaliczna-4-sztuki-0000009144.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw3666cc63/images/hi-res/EDFE1FB8EA300D85F2E69142A3E44085.jpg?sw=270&sh=270&sm=fit,dla-domu
0000016038,Ultra Expert White & Bright Colors Kapsułki do prania tkanin 5in1 Extra Power 28 szt.,https://zakupy.biedronka.pl/ultra-ultra-expert-white-and-bright-colors-kapsulki-do-prania-tkanin-5in1-extra-power-28-szt.-0000016038.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwcde084cb/images/hi-res/AA1A5591B29E161B6E7B8EC960D194C2.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014076,"Ariel All-in-1 PODS Kapsułki z płynem do prania, 50 prań",https://zakupy.biedronka.pl/ariel-ariel-all-in-1-pods-kapsulki-z-plynem-do-prania-50-pran-0000014076.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw42ce95c1/images/hi-res/7FEA55BA6A407795F69BB2824C6E36D9.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017086,Fairy Original Cytryna Kapsułki do zmywarki All In One 29 tabletek,https://zakupy.biedronka.pl/fairy-fairy-original-cytryna-kapsulki-do-zmywarki-all-in-one-29-tabletek-0000017086.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw4284dc14/images/hi-res/A547DA651DB327BB0A5802DDB4F06270.jpg?sw=270&sh=270&sm=fit,dla-domu
0000009893,Lenor Sensitive Cotton Fresh Płyn zmiękczający do płukania tkanin 810 ml,https://zakupy.biedronka.pl/lenor-lenor-sensitive-cotton-fresh-plyn-zmiekczajacy-do-plukania-tkanin-810-ml-0000009893.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwd3d65de3/images/hi-res/800D8FB58956678E727A1A3845EA8DE2.jpg?sw=270&sh=270&sm=fit,dla-domu
