item_id,item_name,item_link,item_image,item_type
0000013632,"Ariel Proszek do prania Color, 36 prań 1.98 kg",https://zakupy.biedronka.pl/ariel-ariel-proszek-do-prania-color-36-pran-1.98-kg-0000013632.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2663ba1f/images/hi-res/1F1D8D3452498A3DCE1911FF7DBB17A8.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013182,Vanish Piana do dywanów i tapicerki 600 ml,https://zakupy.biedronka.pl/vanish-vanish-piana-do-dywanow-i-tapicerki-600-ml-0000013182.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwbef51a58/images/hi-res/CA43557EA470C6F10E74BCDBEE1C0BC3.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013215,Calgon proszek 1 kg,https://zakupy.biedronka.pl/calgon-calgon-proszek-1-kg-0000013215.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc5718390/images/hi-res/A3DCBE131022087DAA8DD3679C4A720E.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013880,Ambi Pur Łazienka Cotton Fresh Odświeżacz powietrza 2 X,https://zakupy.biedronka.pl/ambi-pur-ambi-pur-lazienka-cotton-fresh-odswiezacz-powietrza-2-x-0000013880.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa6a17213/images/hi-res/774634AAA4053EAD70C9E3B064670C7C.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014416,Meglio Odkamieniacz 750 ml,https://zakupy.biedronka.pl/meglio-meglio-odkamieniacz-750-ml-0000014416.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw09148c49/images/hi-res/0CEB90E72267B835220C65D015753998.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017164,Cillit Bang Power Cleaner Koniec z pleśnią Spray 750 ml,https://zakupy.biedronka.pl/cillit-bang-cillit-bang-power-cleaner-koniec-z-plesnia-spray-750-ml-0000017164.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7c9972cf/images/hi-res/5257223622BBE31B73309D4A81E64527.jpg?sw=270&sh=270&sm=fit,dla-domu
0000013407,Botanica by Air Wick Karaibski Wetiwer & Drzewo Sandałowe / Caribbean Vetiver & Sandalwood Komplet 19ml,https://zakupy.biedronka.pl/air-wick-botanica-by-air-wick-karaibski-wetiwer-and-drzewo-sandalowe-caribbean-vetiver-and-sandalwood-komplet-19ml-0000013407.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwfc2dcc49/images/hi-res/7B78CAAF9BB3AA4F6BC4C442AE81D0F6.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017027,Cillit Bang kamień i brud spray 750 ml,https://zakupy.biedronka.pl/cillit-bang-cillit-bang-kamien-i-brud-spray-750-ml-0000017027.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb807717e/images/hi-res/645182.jpg?sw=270&sh=270&sm=fit,dla-domu
0000009349,Care&go Guma stylizująca 100 ml,https://zakupy.biedronka.pl/careandgo-careandgo-guma-stylizujaca-100-ml-0000009349.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwddfd3951/images/hi-res/0173C30996B602976CF4078E6D24526E.jpg?sw=270&sh=270&sm=fit,dla-domu
0000009350,Care&go Pasta matująca 90 ml,https://zakupy.biedronka.pl/careandgo-careandgo-pasta-matujaca-90-ml-0000009350.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw21b647fe/images/hi-res/C15E53EAFD4BCA36BCB7EBB4C246F5FB.jpg?sw=270&sh=270&sm=fit,dla-domu
0000014417,Meglio Odkamieniacz 650 ml,https://zakupy.biedronka.pl/meglio-meglio-odkamieniacz-650-ml-0000014417.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf05cb713/images/hi-res/82675F8AC4916D99DF7B4792A8DEDA6A.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017161,Perwoll Renew White Płynny środek do prania (40 prań) 2 l,https://zakupy.biedronka.pl/perwoll-perwoll-renew-white-plynny-srodek-do-prania-40-pran-2-l-0000017161.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw65ef3e20/images/hi-res/EE6E5CDAF7570A6DEE6EC515C93EA0E7.jpg?sw=270&sh=270&sm=fit,dla-domu
0000017092,Dr. Beckmann Środek czyszczący do tapicerek 400 ml,https://zakupy.biedronka.pl/dr.-beckmann-dr.-beckmann-srodek-czyszczacy-do-tapicerek-400-ml-0000017092.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwd1730469/images/hi-res/5C70495E51F6BCE1F4B11448F02C227F.jpg?sw=270&sh=270&sm=fit,dla-domu
