item_id,item_name,item_link,item_image,item_type
0000015458,Smashed Bajgle (4 x 75 g) 300 g ,https://zakupy.biedronka.pl/smashed-smashed-bajgle-4-x-75-g-300-g--0000015458.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf7d5976c/images/hi-res/543BA231B65CAE1FAC9F237C768C9651.jpg?sw=270&sh=270&sm=fit,piekarnia
0000008190,Melvit Pieczywo chrupkie żytnie z pomidorami i bazylią 130 g,https://zakupy.biedronka.pl/melvit-melvit-pieczywo-chrupkie-zytnie-z-pomidorami-i-bazylia-130-g-0000008190.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw55ac300c/images/hi-res/CA1BEE13585A5CD49EC1F6BD596808B4.jpg?sw=270&sh=270&sm=fit,piekarnia
0000002112,Chleb słonecznikowy 480 g,https://zakupy.biedronka.pl/biedronka-chleb-slonecznikowy-480-g-0000002112.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw39e864d6/images/hi-res/211456c.jpg?sw=270&sh=270&sm=fit,piekarnia
0000015363,PANO Bułki do burgerów Master 320 g,https://zakupy.biedronka.pl/pano-pano-bulki-do-burgerow-master-320-g-0000015363.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6948a283/images/hi-res/03EC2E1BEFD5018E954E2A091F34B7C0.jpg?sw=270&sh=270&sm=fit,piekarnia
0000009559,"Turecki borek ze szpinakiem i serem, 75 g",https://zakupy.biedronka.pl/biedronka-turecki-borek-ze-szpinakiem-i-serem-75-g-0000009559.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa6ad41ed/images/hi-res/426909_n.jpg?sw=270&sh=270&sm=fit,piekarnia
0000003557,Sonko Pieczywo chrupkie Lekkie 7 ziaren 170 g,https://zakupy.biedronka.pl/sonko-sonko-pieczywo-chrupkie-lekkie-7-ziaren-170-g-0000003557.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw9f386323/images/hi-res/sonko_lekkie_7_ziaren_pieczywo_chrupkie_170_g_profile-1105574-thumb1600x1600_jpeg.png.jpg?sw=270&sh=270&sm=fit,piekarnia
0000005755,Bułka z pradawnej odmiany pszenicy 70 g,https://zakupy.biedronka.pl/biedronka-bulka-z-pradawnej-odmiany-pszenicy-70-g-0000005755.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe05412b3/images/hi-res/307109b.jpg?sw=270&sh=270&sm=fit,piekarnia
0000004371,Pasztecik z pieczarkami i kapustą 40 g,https://zakupy.biedronka.pl/biedronka-pasztecik-z-pieczarkami-i-kapusta-40-g-0000004371.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw92f58611/images/hi-res/276663_f.jpg?sw=270&sh=270&sm=fit,piekarnia
0000009605,Bio Chleb żytni 100% z płatkami żytnimi 450 g,https://zakupy.biedronka.pl/biedronka-bio-chleb-zytni-100%25-z-platkami-zytnimi-450-g-0000009605.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc3e225eb/images/hi-res/428539.jpg?sw=270&sh=270&sm=fit,piekarnia
0000005200,Bułka codzienna 100 g,https://zakupy.biedronka.pl/biedronka-bulka-codzienna-100-g-0000005200.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw70670ee2/images/hi-res/295600.jpg?sw=270&sh=270&sm=fit,piekarnia
